dt;xt_44;yt_44;zt_44;xt_avg_44;yt_avg_44;zt_avg_44;xxt_44;xpt_44;xp_44;wd_44;xp_avg_44;wd_avg_44;disSTL_44;disSTL_avg_44;disSTLz_44;disSTLz_avg_44;PCAsigma_44;PCAmu_44;PCAwt_44;vxt_44;vyt_44;vzt_44;vxt_avg_44;vyt_avg_44;vzt_avg_44;vavg_44;vv_44;vv_avg_44;vvt_44;vpvt_avg_44;axt_44;ayt_44;azt_44;aavg_44;axt_avg_44;ayt_avg_44;azt_avg_44;curvature_44;curveRadius_44;turnRate_44;vxp_44;vxp_avg_44;axp_44;axp_avg_44;thetaToR_44;psiToR_44;aa_44;xt_52;yt_52;zt_52;xt_avg_52;yt_avg_52;zt_avg_52;xxt_52;xpt_52;xp_52;wd_52;xp_avg_52;wd_avg_52;disSTL_52;disSTL_avg_52;disSTLz_52;disSTLz_avg_52;PCAsigma_52;PCAmu_52;PCAwt_52;vxt_52;vyt_52;vzt_52;vxt_avg_52;vyt_avg_52;vzt_avg_52;vavg_52;vv_52;vv_avg_52;vvt_52;vpvt_avg_52;axt_52;ayt_52;azt_52;aavg_52;axt_avg_52;ayt_avg_52;azt_avg_52;curvature_52;curveRadius_52;turnRate_52;vxp_52;vxp_avg_52;axp_52;axp_avg_52;thetaToR_52;psiToR_52;aa_52;xb__44-52;xb_avg__44-52;vxb__44-52;vxb_avg__44-52;axb__44-52;axb_avg__44-52;phi1to2__44-52;psi1to2__44-52;phi2to1__44-52;psi2to1__44-52;phiO1to2__44-52;phiO2to1__44-52;phi1to2__44-52;phi2to1__44-52;phiE1to2__44-52;phiE2to1__44-52;alpha1to2__44-52;alpha2to1__44-52;dphi1to2__44-52;dphi2to1__44-52;dpsi1to2__44-52;dpsi2to1__44-52;dphiO1to2__44-52;dphiO2to1__44-52;dphiE1to2__44-52;dphiE2to1__44-52;dalpha1to2__44-52;dalpha2to1__44-52;
354.7625;-59.25559512142942;-234.45319459834457;13.209466631561284;-59.19988216842683;-232.45367558181553;13.192937352301152;0.0;0.0;87.4683714974848;16.827166852696667;85.65928802360104;16.84079857174519;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;-138.79471670207465;-288.55102602542325;20.860169065380774;-138.76312728056894;-288.3377616372913;20.301660861228516;0.0;0.0;147.0309909710999;35.69215167360259;146.4726867164233;35.95071909370932;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;96.49653089445307;99.58437068635409;;;;;;;;;;;;;;;;;;;;;;;;;;;
354.766666667;-59.39051748538095;-231.50467004044032;13.520729336267593;-59.90174737499773;-232.55967708806926;13.645375326474094;0.841754838415906;0.841754838415906;84.6238686832993;17.108963217112734;85.59660485571247;17.146970867584766;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-182.48970640658877;16.988344932295004;-95.54141088988162;-187.11853654215014;59.1812557489328;-79.56862648276646;211.77094718126605;206.68637594851478;227.6677978767185;167.26309237161726;236.77011538810603;-2184.761726590313;13166.988604009075;-15516.708243203386;17292.91886798523;-2140.5914913463976;13667.973976631074;-10375.422806615199;0.3205843467598695;3.119303890245895;75.90479277395491;-98.49808669749892;-133.59471125221916;-15450.885306062271;-14772.658929623;73.77209411773414;83.2230626476028;20467.31558863484;-137.9362783091155;-288.26685425518957;20.65107423604745;-138.39060554272547;-289.51659317497575;20.27671842823398;1.2365429084221515;1.2365429084221515;146.45255694534634;35.36766016156898;148.19753134820917;35.67384653740278;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];194.0325062833862;154.60556523799096;-9.551619669259308;190.37435364310494;153.53120062744392;-10.69527388392208;244.80321275380868;248.27953547458793;253.17630938375757;84.96521101071451;295.28651671890543;8983.150143149396;-1647.727252805922;-550.077477106312;22401.29625143803;6470.1246244224985;21439.878558081444;-535.8810538288028;0.21075379521223675;4.744873035348966;62.23275407351092;-298.1802053228643;-303.3533492422424;-71036.29505708042;-52186.52733717174;51.158973442000836;-87.98207188747175;9149.56702936396;97.1711063979322;98.09360691681712;-366.70154589935083;-368.83923570148477;-1267.4960714356193;-1165.6205457180104;58.702986697419;-70.35644758044211;3.0775532842092974;120.71427807100812;3.558169643009721;47.66218507524181;58.702986697419;3.0775532842092974;55.14481705440928;-44.584631791032514;132.47508081515315;54.23652672621013;;;;;;;;;;;
354.770833333;-59.82135170315082;-229.45734207324028;13.642930425619468;-60.64292496570203;-232.58220712835225;13.441019219946796;1.4698426739884431;1.6109188274015938;82.54543851379528;17.255893218494244;85.31400388223635;17.094536969406136;nan;nan;nan;nan;[1.75269186 1.95772103 0.51494286];[ -60.75555464 -232.09461736   13.11821296];[[-0.5854407  -0.47792697 -0.65486258] [-0.54932868  0.8279132  -0.11312707] [ 0.59623586  0.29350561 -0.74723307]];-191.42534772439052;82.91945053021573;-124.65166072643925;-188.48694431514227;61.01729157759171;-70.59080575599394;210.31761672766467;243.01715073116966;229.95040452122822;204.51033573078996;238.53087590457218;-2104.2035566609693;17926.109594826325;588.4911870333585;17037.36205359801;-2124.038022022846;12085.086185796592;-11819.934860575635;0.3215844385660945;3.109603202377818;76.7078178084506;-165.23096539441073;-133.21169285213168;-16280.240369980214;-13638.422573125026;73.13487663186577;83.79893453914593;18058.77625119723;-138.4034315792646;-291.1834474996288;19.760546796803098;-137.68696016557197;-289.03791245686267;20.241770851337993;1.2852757069329694;2.088290159555748;149.31082264357136;34.590440317399484;147.72368132825434;35.398482181004795;nan;nan;nan;nan;[1.11987768 1.73516478 0.42295229];[-137.54923143 -288.36428161   20.29598875];[[ 0.67541534  0.72622487  0.12810761] [ 0.38339685 -0.19741618 -0.90223817] [-0.62993728  0.65850155 -0.41177024]];215.0947575838649;145.79654417192987;-11.788995195054179;185.78499736339086;144.28921168552426;-11.01363003419614;235.49255168831843;260.1179875369024;266.5691178416313;199.38371570435103;302.006690420552;1532.7580845585053;14908.04397396768;-523.86352251049;23313.882922924946;7015.296227369794;22227.03336372563;-530.7952843895728;0.23904362852869787;4.183336766409346;72.19277511807189;-496.0768194213252;-271.25459714352814;-25504.316353285456;-55360.706159301655;52.214112694713705;-87.91978624258545;14995.784589868934;100.11333876577353;96.5772730900159;-371.5697242560379;-369.0000424250366;-1070.5154843816395;-1135.5751721375843;58.752046029820406;-71.84584988050914;2.103650667790796;145.10666904160277;2.355591182356048;49.776879146909295;58.752046029820406;2.103650667790796;56.396454847464355;-47.6732284791185;131.88692266168619;54.3177633625045;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
354.775;-61.39882155079487;-230.8084836419082;13.03411459079318;-61.42203121008577;-232.38095119016486;12.958983307682;2.2356139415114487;2.5489322139832433;83.34628456523306;16.880382898902333;84.76576823416329;16.88041864709016;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-200.02354813460204;161.75732082075496;-98.59812711968122;-197.53767418703237;79.12143476854034;-58.66820524351996;220.7335327256607;275.4930876065186;246.9888810021714;nan;nan;-2022.7900909468694;19362.23565647158;10961.907809612234;13867.311839930107;-2018.8024134252307;9628.172500243969;-9773.692689406598;0.23454277451599642;4.2636146095892515;nan;-231.66128895967697;-146.5950843754602;-15305.65884287225;-10862.806588996345;68.9951045177035;83.92328915130501;22341.69358386266;-136.91742663317507;-288.1000581232218;19.89229912134475;-136.82383277548678;-288.43602694424237;20.197273311755843;1.9445863335107951;3.1414924634111605;145.91039209685295;34.47899414011738;146.00310538159007;35.124653723974575;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];210.18905368360024;312.09158594662523;-13.917155250461809;183.17904811076377;148.16802443389835;-13.151392158241542;235.96882473561982;376.52925984225;317.5823747084036;nan;nan;-3481.4683532187346;55405.486267255044;-497.65405132038956;22994.8623004848;5868.3852766211885;22227.85463841734;-498.22147362562026;0.24428312187040563;4.093610693785504;nan;-523.63481362519;-260.18993106040836;10726.242492400186;-46132.553762866744;51.10364500249377;-87.41878474433842;55516.99010177197;95.03903890081959;95.038922960372;-375.63322447423417;-370.9226251466591;-881.2505649597524;-936.1759793513587;61.68405821032802;-75.75874251498634;2.448842486851937;129.30858648277376;2.6179784364163736;55.43731785931514;61.68405821032802;2.448842486851937;59.066079773911646;-52.9884753724632;130.6791627280315;53.55248748934571;213.3634501856804;114.01748085122367;-349.95806714525736;-2406.6181182083883;98.1469554099247;818.3976955025762;115.21649477575565;-704.3802146513522;-148.68164045935129;-59.64111893796754;
354.779166667;-63.91148735770723;-234.24939642842617;12.183823794258515;-62.23766752880994;-231.87328564519458;12.478871746454166;3.174095471743476;3.6229406037067697;85.95998291386928;16.42009975259074;83.93749938607812;16.654556510242852;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];nan;nan;nan;nan;nan;nan;nan;nan;nan;280.9289652852575;259.9730275264747;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;-135.69430392573446;-285.7200221428927;20.31585452477914;-135.9305704568202;-287.54068338944364;20.143680912865943;2.9468066711343837;4.407363624425583;143.27318308788276;34.701979980069545;143.82628924960042;34.8523884211207;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];nan;nan;nan;nan;nan;nan;nan;nan;nan;441.14962473105055;352.68640040880956;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;88.70246890408337;93.48197632974406;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-216.1933713026142;302.7701066609032;23.470576963729275;-212.69292356046967;96.86574442847322;-44.70349566619628;237.9488489174926;372.77363005670753;268.50765526362846;nan;nan;-1857.3972721632617;12265.502992152378;14513.39263174238;9784.719629664847;-1825.0867603884913;6608.393859498154;-6981.327033304653;0.14130301263723233;7.076989947605032;nan;-333.5486608453197;-157.77359898505085;-7944.686015503764;-7358.199121977719;65.97806209564374;85.10963659653409;19092.696351229504;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];163.0765406273457;556.6440849912331;-17.845903673569364;182.56673806840033;155.71011676308507;-16.65283661729896;240.5276933717029;580.3146316754694;378.7320902774441;nan;nan;-6201.4243663175885;-34745.24574022976;-445.24855915699607;22519.908915044456;4325.4580617856955;22096.24011682613;-439.1842406045889;0.24245519222638118;4.124473436998193;nan;-222.75860664766859;-253.0117274800885;55283.100609620546;-33885.04565891914;49.65649000424195;-86.62062228786087;35297.138864213106;nan;nan;-381.4747849557197;-372.50875789489044;-525.8677290099363;-601.1478886953358;63.462086961885866;-78.67505974121406;3.398988160617751;109.2534354975853;3.4358697315039146;62.257298655210256;63.462086961885866;3.398988160617751;60.02621723038195;-58.8583104945925;129.4401490575296;53.05547816485971;224.36113289674637;-174.21478616232548;-241.4853207730166;-1384.342738374094;-180.59176188444468;497.57535914879304;404.9528947811913;-671.7901453111181;193.26758087724173;-292.058658510352;
354.7875;-65.30914397483943;-233.6839131853979;12.163385905868921;-63.97286182750992;-229.8966856425721;12.145287713266798;5.515170182467795;6.274190333891701;85.05750088446626;16.57521329671198;81.53985970616228;16.532457430004918;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-223.75786659543147;337.2533977995885;71.72089070873008;-216.3293180425452;99.4736057250922;-42.01163012034652;241.7816145741288;411.03688807059643;272.7408111109205;360.0968598787443;271.05181108765225;-1773.4179190948807;3732.644266236329;7691.460831269428;8960.499383741213;-1775.0270055382489;5982.641508382047;-6430.2277500739265;0.12523114055242515;7.985234308245982;33.94412745130717;-353.97290423967934;-158.95330747962504;-1558.2947152934557;-6635.925470020672;65.70598127524005;85.43185759802951;8731.335181573637;-134.39463754634681;-284.85728582217877;19.834674501631866;-134.35955666099494;-283.3992458021317;20.01103156149093;6.623053543914871;8.838750031261894;142.00064401559368;34.04101657421297;140.45846447693035;34.31265407391954;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];141.1711116452673;159.4970517209423;-19.646529402956826;182.81918641516293;157.82576336811394;-17.477640445019293;242.15138740002166;213.90319863997993;389.9325544321329;158.29360505797703;376.6985254213324;-3907.1539416206488;-165393.42004038696;-419.05253818406027;22405.788174414727;4028.2135107497616;22036.62809541304;-424.1011825123822;0.24000527569126934;4.166575076817685;90.40963344624151;28.16376238020763;-252.5054033817257;63609.39988085134;-31513.55959850969;49.32520409408457;-86.43455844267176;165440.09444390787;86.3155151624614;90.32530301013328;-383.3171424492368;-372.57787326152334;-359.74981248443146;-520.4729503082152;63.90693554716244;-79.36412939404296;3.2251186491789032;105.23788255731583;3.2300562671969244;63.72885129088758;63.90693554716244;3.2251186491789032;60.67687927996552;-60.50373264170868;129.6129168224025;52.55032274326347;580.959646301078;-344.0192726907945;-365.08516074625396;-11922.664150217297;-345.4361289541025;973.8952345854897;926.3957752551802;-1317.914507276285;479.8559055720715;-549.4233149474263;
354.791666667;-64.93615015225473;-228.94343600812556;12.613440056408336;-64.88954840436996;-228.55095834924427;12.353472963915923;6.950410357180857;7.9157253858448;80.56310419023147;16.900716792165234;80.09828354148968;16.70119590445248;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-230.97066605091263;332.883536818653;84.80532672150787;-223.18051463899508;102.12044202855782;-37.8736723167723;248.33956964083066;413.94545667423307;279.52815955456225;377.5567988400228;279.16115303362307;-1688.5832702417445;-5514.410343498109;-1118.2161311793193;7614.997837808505;-1674.461565190413;5025.511982767299;-5470.703779916307;0.10071122162873639;9.929380101121378;28.114660753302807;-346.2287553200294;-159.0102507888194;5048.196854878285;-5484.207094404788;65.71894916214809;86.00821713607397;5874.558895189398;-133.14295731820596;-283.1760879130199;19.806458631543165;-133.72902664240772;-281.7182686447756;19.93288442657901;8.324413058699832;10.635791845630031;139.9969743236178;33.82299493533444;140.04101240080752;34.04523731593986;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];131.68116630349428;-642.6356954380719;-21.338014385385744;183.95959259129407;162.61884535842353;-19.006016060975664;246.2666222178146;656.3351868276862;404.68473474693224;-214.09465239848095;391.7829753604821;-774.6293803933829;-167162.5160081077;-392.8610006168461;21926.2307831001;3524.2417778042154;21637.559769586816;-394.11097790352767;0.22931918112486066;4.360734218109369;89.84335108832722;249.689456855453;-253.6518447735462;30441.905589530892;-27413.08603428929;48.67445773467596;-86.09713080208502;167164.77245102698;87.43619726768159;88.73174616207388;-384.48341626479856;-372.19868243838886;-201.3475635910192;-367.8098625544521;65.33176306935705;-80.6874374143207;1.947198275933026;97.71724601114501;1.9309383824682445;66.40375998144643;65.33176306935705;1.947198275933026;63.40082468688881;-64.4565617055134;131.05071223150514;50.62165601060899;612.346541879305;-87.95813875404023;-336.9483039709616;-17398.16969236075;-90.85644522241682;1281.5472366555045;703.2029871017216;-1369.5053754095456;472.6287857533863;-305.3058587070521;
354.795833333;-65.39342126866462;-226.5827977734707;12.787368507011834;-65.83702224936275;-227.14146147358002;12.692314731945105;8.515977348121268;9.647545778730224;78.16306907500903;17.097670855339487;78.6299720812246;16.989532840633288;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-237.8282059366211;293.93137155038704;64.84171806516738;-229.7966017113657;108.93898422749159;-33.14146149110443;256.4615700497368;383.617459355236;288.11670102772234;366.91551865446945;288.9529348455441;-1602.893325603851;-12866.86179169733;-8171.600609921785;6012.7309420261;-1580.5069650664116;4065.210583043541;-4138.718887540615;0.07232112071645729;13.827219352982752;20.897400082339214;-313.79867496448435;-162.88598206513365;10290.95237394698;-4252.331422481082;64.86345010249909;86.49434552844286;15326.462602570109;-131.29517109688004;-279.871551483459;20.331897611501503;-133.16511640559546;-282.72224802988023;19.84746206750388;7.942166919396813;11.790463374822073;136.291248253643;34.05082889164958;140.66785865368695;33.77948828486444;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];133.66078715900565;-796.2923934442315;-22.92037730171329;184.6602125370208;169.57327323582243;-20.49743372659572;251.5444968181669;807.7574670510702;423.74344856550914;-132.1317077031592;410.13412068992744;1598.237833080884;145875.08355326654;-366.67394645535353;21159.256252933097;2818.7940249480844;20967.4648208569;-365.9841640474834;0.21447966217999326;4.662446731946039;87.96542765406421;179.50440997755913;-255.31197167824905;-76411.7559687827;-21944.241683417058;47.613503741947525;-85.7206028008385;145884.29941438726;85.08614353578949;87.13193249483413;-385.0057550175384;-372.16789771571007;-50.660982329699166;-220.43152501507424;68.74826593300035;-82.40650573359231;0.35829137675822337;5.882347972262059;0.35142185924868846;71.84464491242595;68.74826593300035;0.35829137675822337;68.39684407375167;-71.48635353566773;133.61171603549946;47.97179511870575;91.10236084957067;90.42891540753278;-145.46485610459953;2994.891149206189;85.33017089960411;809.1375370249094;5.772189949966694;-718.7086216173759;44.11333023747408;-67.42398429941396;
354.8;-66.07982859787384;-225.8969536980427;12.777379273892635;-66.81381053872337;-225.8249598539348;13.014283957887447;10.096717014178186;11.318161251906032;77.31970434602839;17.167740344837636;77.24732992970851;17.33059177445409;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-244.32692252012043;228.29108183451365;19.1479500884781;-236.40537273408037;113.21351949773529;-26.986647161879738;263.50157566823646;334.9314961390111;295.4981701591201;332.05401921008433;297.0685431951293;-1516.3480851812012;-18324.71007836134;-13468.69260495797;4735.140064671563;-1481.4319895639999;2923.333612480036;-3417.752372905135;0.053515030537276125;18.686338958611742;15.897632160751474;-262.3648967193017;-163.8458710335696;14169.971841912633;-2984.2521155862332;64.5546345277665;87.19210288773702;22792.54245270325;-133.64232977371796;-285.67869141168177;19.47735232851859;-132.61575363682783;-286.1729049273765;19.75521919845943;6.54029095538078;15.285794721466663;142.5091618466554;33.60024514296988;141.7166040671665;33.51543201224865;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];143.9447352628336;419.03976557924375;-24.39363683279663;184.58212246900257;174.17154972787569;-21.965555807693395;254.73275076384;443.7448157043924;439.1684600538007;307.9687601572983;423.4546881010621;3211.447698802156;348068.51372820395;-340.4913756995824;20337.190021080758;2390.6508039657024;20193.384734102467;-336.6001597776221;0.20165828269240343;4.958883843741423;85.3931452005075;-267.97424452499365;-248.99194339043936;-97512.74670866053;-18157.99637094885;46.863226735069176;-85.348298767362;348083.4951267583;90.46235331965993;85.52861204745737;-384.91630732259006;-371.6921912873076;92.30993129952853;-72.622286747027;70.43465091834662;-83.49533994740949;1.2142137863166906;-47.26750142506268;1.173801338948793;77.08332028689925;70.43465091834662;1.2142137863166906;69.26084957939783;-75.86910650058256;134.98928544611312;48.07744052138587;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
