

Insect numbers for this group are 12-11;
dt;xt_12;yt_12;zt_12;xt_avg_12;yt_avg_12;zt_avg_12;xxt_12;xpt_12;xp_12;wd_12;xp_avg_12;wd_avg_12;disSTL_12;disSTL_avg_12;disSTLz_12;disSTLz_avg_12;PCAsigma_12;PCAmu_12;PCAwt_12;vxt_12;vyt_12;vzt_12;vxt_avg_12;vyt_avg_12;vzt_avg_12;vavg_12;vv_12;vv_avg_12;vvt_12;vpvt_avg_12;axt_12;ayt_12;azt_12;aavg_12;axt_avg_12;ayt_avg_12;azt_avg_12;curvature_12;curveRadius_12;vxp_12;vxp_avg_12;axp_12;axp_avg_12;thetaToR_12;psiToR_12;aa_12;xt_11;yt_11;zt_11;xt_avg_11;yt_avg_11;zt_avg_11;xxt_11;xpt_11;xp_11;wd_11;xp_avg_11;wd_avg_11;disSTL_11;disSTL_avg_11;disSTLz_11;disSTLz_avg_11;PCAsigma_11;PCAmu_11;PCAwt_11;vxt_11;vyt_11;vzt_11;vxt_avg_11;vyt_avg_11;vzt_avg_11;vavg_11;vv_11;vv_avg_11;vvt_11;vpvt_avg_11;axt_11;ayt_11;azt_11;aavg_11;axt_avg_11;ayt_avg_11;azt_avg_11;curvature_11;curveRadius_11;vxp_11;vxp_avg_11;axp_11;axp_avg_11;thetaToR_11;psiToR_11;aa_11;xb__12-11;xb_avg__12-11;vxb__12-11;vxb_avg__12-11;axb__12-11;axb_avg__12-11;phi1to2__12-11;psi1to2__12-11;phi2to1__12-11;psi2to1__12-11;phiO1to2__12-11;phiO2to1__12-11;phi1to2__12-11;phi2to1__12-11;phiE1to2__12-11;phiE2to1__12-11;alpha1to2__12-11;alpha2to1__12-11;dphi1to2__12-11;dphi2to1__12-11;dpsi1to2__12-11;dpsi2to1__12-11;dphiO1to2__12-11;dphiO2to1__12-11;dphiE1to2__12-11;dphiE2to1__12-11;dalpha1to2__12-11;dalpha2to1__12-11;
57.6958333333;-66.2074059796193;-270.56784335940296;17.20550847553558;-64.96353859871574;-267.00780824264024;17.827764530172274;0.0;0.0;120.98320919693145;22.24749077239025;117.95783218756748;22.64689754639658;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;-121.71285384859357;-250.49536602325838;18.228782483962803;-122.56829913455311;-251.1731501376825;18.479831550805052;0.0;0.0;105.34062139332865;30.262285921275502;106.42171259720509;30.633905749493746;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;59.032246943867726;53.26556333403297;;;;;;;;;;;;;;;;;;;;;;;;;;;
57.7;-66.48610392671404;-269.92238648933625;16.901783424316136;-65.28561244158257;-264.47583016284045;17.792912848445933;2.552618106291023;2.552618106291023;120.29386027525241;21.97337542634651;115.31379027853674;22.61653698589408;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-101.16119719109425;512.2421317607119;-15.916429102984917;-113.18822409791635;458.2751248750409;-19.711243517638955;472.4576142625771;522.3781408934378;474.9713144662064;522.3818538977368;475.633354447104;-3556.0885423632476;-14665.814845452434;-1124.4685841491248;14364.982305700549;-3250.266212341631;-13954.721637683397;-1026.7571313465733;0.029951854638884935;33.386914167971156;-538.8474474227054;-484.5210506887481;14725.420541366668;14028.960874600496;14.074237687904604;80.41221350213921;15132.624372492648;-124.19124627768379;-260.66893653351326;16.930028099726798;-123.00976044003859;-256.12210205265313;17.864389982630062;5.006573824959541;5.006573824959541;115.71935516747162;29.45453948274626;111.15306737104665;30.15662533823879;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-43.044046579856804;-981.664088625315;-112.63879748838806;-10.464374844242117;-876.6275988386969;-94.69236049807145;881.7891433462294;989.0423001783944;884.066474674958;990.6293516517479;886.1385960569846;9434.978294490682;30776.574998798016;5242.822694988612;29963.390827055417;8710.889601312061;28261.0102904851;4820.839093945933;0.01100027154445255;90.90684679545944;928.7858380964348;823.6529682612979;-30856.47596613333;-28312.128065099118;173.7976401474945;173.657052735162;32614.46878128229;58.44236979788116;55.76132974766799;406.94677864240566;310.50811703006605;-28569.458997901926;-26100.292164012957;74.4090995883103;-89.7337642469567;89.01660820341883;-89.50521552598836;nan;31.069665287615152;74.4090995883103;89.01660820341883;nan;57.946942915803675;88.4833372762149;262.8142483509133;;;;;;;;;;;
57.7041666667;-65.28709963301226;-260.1968767144127;17.971433600444414;-65.67528166080186;-262.2119517143678;17.736664754766025;4.849238826380928;4.8504761475783;110.968204328416;22.72913455123095;112.93858738647609;22.57790676324532;nan;nan;nan;nan;[0.5044386  6.27620572 0.53597192];[ -65.7785293  -262.98556543   17.64827502];[[-0.57593717 -0.57323582 -0.58283537] [-0.64479107  0.75680674 -0.10718222] [ 0.50253442  0.31407682 -0.80549048]];-115.29380472457844;452.7158122489271;-20.382825510899515;-116.75322141763934;437.62034307478916;-20.828583680048002;453.40567848496255;467.61065818037423;461.35874816404373;466.64622474941154;462.0210300012092;-3229.177558597494;-13910.04171899714;-1019.9285738081577;14036.87307816674;-3121.603071294009;-13649.822759476694;-985.7680826249562;0.03267314458109412;30.606175586130657;-479.0388834870897;-463.596550836564;13985.776773561525;13729.577732289394;15.163141433152637;80.23019070422318;14316.322943579504;-124.27625787207731;-263.5047854678879;16.785067732982057;-123.27333236024953;-260.48761581326545;17.34819611806792;9.409407070776284;9.410394513524274;118.42692387632964;29.36481939800526;115.29904041249104;29.745511020026893;nan;nan;nan;nan;[1.05686431 5.05910823 0.51456894];[-122.97743494 -260.17256216   17.22592455];[[ 0.51565012  0.57726041  0.6331472 ] [ 0.80585432 -0.57777125 -0.12953451] [ 0.29103911  0.57701889 -0.76311561]];-5.368552775140464;-859.12874213641;-91.74890039430355;0.02804585811288405;-843.9934382369768;-89.06771256610057;848.6801411576691;864.0305999484933;855.5519821357857;864.7199302979445;857.5781443270787;8653.93704713312;28057.351135615732;4787.118864388075;28889.22766510961;8415.50034021193;27242.430254039424;4649.3895259727315;0.01193936037147405;83.75658066149306;805.9823701665152;791.1758830351876;-28106.32036628351;-27281.65414732963;173.97580291007094;-179.98186145201865;29749.32076846059;59.09374344248512;57.71288013414601;293.5027512829096;281.6570497303932;-25900.32855331116;-25100.579196556726;79.15237752199278;-90.24581943327169;94.16494555938307;-89.69773983710049;nan;31.64815922617193;79.15237752199278;94.16494555938307;nan;62.516786333211144;94.31551895514541;268.140748469454;529.517040183211;759.1745781265308;-56.778781040425585;-15.792815050693081;nan;8.00672330024912;nan;751.1678548262809;1163.2644506731237;729.5344112885715;
57.7083333333;-65.71885381091525;-259.8374652105076;17.762309224629192;-66.1267025429526;-260.2027160861148;17.66089006342579;6.905800222105249;6.9111921460921;110.5273586142511;22.573240320522192;110.81906095021533;22.53188832427689;nan;nan;nan;nan;[0.55833007 8.98493062 0.69520721];[ -65.81983216 -258.43794682   17.96305123];[[-0.4576281  -0.6115113  -0.64546918] [-0.8752611   0.43760197  0.20596727] [ 0.15650727  0.65921047 -0.73549101]];-128.0844642201886;396.2982574456072;-24.42022456938633;-124.0823031576222;396.78166395312707;-23.12933223268616;416.3737177294483;417.1981378158546;433.9520627144954;414.6344979957745;434.601678318834;-2911.9534841946975;-13173.60778543657;-918.5498564272565;13399.781897252155;-2871.136980865636;-13057.180769950215;-905.9567715264532;0.03931438294922553;25.43598360151038;-422.2735857608988;-422.2644926054259;13264.652760890312;13147.773578648155;17.64630539777167;79.92749266872886;13522.838053358888;-122.5059668703243;-261.3834432157578;17.11368883876723;-123.37306196358271;-264.31866681505335;16.92304770788171;13.26181842205697;13.266253554356151;115.86297330081173;29.425613956223042;118.90916203329657;29.39501986470761;nan;nan;nan;nan;[1.1114389 8.5924438 0.7512961];[-123.38294261 -264.82007621   16.84986474];[[-0.54432118 -0.58041827 -0.60566417] [ 0.81059396 -0.5498137  -0.20159942] [ 0.21599047  0.60068255 -0.76975879]];29.111081441040053;-747.711497330294;-72.72288233328582;21.405929077571233;-777.027280527269;-77.5488186067099;781.1807906948133;751.8035354515421;795.134452286554;750.9862514960056;797.0674662970993;7900.965692022908;25439.886191154634;4348.160759132811;26791.758423871397;7839.022508110838;25253.348265298442;4314.6780820779295;0.014291213025475863;69.97306654217356;694.4237373265472;724.4680353940547;-25458.955123052074;-25269.384772078534;174.08898735355197;-164.49028765107957;26991.10168690203;56.81185585790856;59.16828839897337;190.97192054232085;222.0586440371915;-23331.12462091441;-23148.3277591052;81.83827333037809;-90.53828112190669;97.72656707940013;-89.77775398080168;nan;31.843906295301622;81.83827333037809;97.72656707940013;nan;65.8826607840985;99.48457872814976;271.8155544329521;294.54331119733837;570.2322601554044;-27.82250070019005;-8.842059688313887;nan;-54.9190024984297;nan;625.1512626538338;1017.4993672384061;418.9018586620943;
57.7125;-65.19318312541476;-254.4032553574537;18.40034037221548;-66.63419955012063;-258.4350022168649;17.56740370516054;8.737957365959137;8.752687526212428;105.32389379160085;23.054511261066782;108.94236993212611;22.47933590764964;nan;nan;nan;nan;[1.05367019 8.49508416 0.66968817];[ -66.28088952 -256.88835333   17.8998308 ];[[-0.34741451 -0.60300368 -0.71811539] [-0.84900706  0.52740403 -0.03212463] [ 0.39810823  0.59852448 -0.6951822 ]];-139.57353780031173;342.9088873801705;-28.041798332458686;-130.62562324727628;356.86145584937395;-25.179232473953746;380.8505558190134;371.28643922465005;409.98760524365207;366.2805861474501;410.6142734845184;-2604.416319153773;-12456.51304476821;-820.3324320060754;12759.28243052137;-2620.330588665309;-12459.96344035578;-826.1154961103383;0.04768681925547318;20.970155183609286;-368.474388597553;-381.78814453418164;12562.048503350567;12560.987455253888;20.44436985390161;79.76177688869431;12752.280066598132;-122.20084983316129;-264.81027958280595;17.0720555788172;-123.3225089939155;-267.6624638056284;16.58103322723608;16.615406489925412;16.627876350252855;119.03013737085985;29.39589305639032;122.03117799039268;29.09980633496814;nan;nan;nan;nan;[ 1.46804513 10.41741495  0.95018888];[-123.57159157 -268.45166968   16.54720322];[[-0.53741254 -0.57953236 -0.61264183] [ 0.80818733 -0.56142516 -0.17786242] [ 0.24087551  0.59071485 -0.77008763]];60.51181395316094;-646.988358711934;-55.490969449667865;41.241998548260796;-715.6014896914177;-66.95673685702337;719.9094381263324;652.1770186284765;741.0673383756183;649.009802329251;742.897362166412;7176.064229157474;22924.18016540577;3925.9483792213236;24718.553715534;7267.83977329683;23287.701269503374;3983.5125705582072;0.01696226217677121;58.95440063233071;593.6816464235926;663.4109145605902;-22914.380236429988;-23280.66062903003;173.72880151975465;-148.2152465546965;24339.82343307542;57.96502874303569;60.17389361236356;98.93792595283294;168.15512655412226;-20861.847200702916;-21219.131909149033;83.56501952351928;-90.71897594194188;100.4914003771038;-89.82934662918959;nan;31.71488192034067;83.56501952351928;100.4914003771038;nan;68.77651845676313;104.00938937742089;274.22020189685844;62.70241114510911;398.96812201632537;5.076969359787715;-3.4561455256495863;nan;-105.99827631557409;nan;504.96639833190073;889.983095940529;126.09531941180683;
57.7166666667;-65.25977111114457;-245.3033346715526;19.076251543386576;-67.19226531990485;-256.8960247952658;17.45796572714674;10.361087705403174;10.393378106007539;96.45117989365309;23.595961251830673;107.29599481809322;22.421076544858156;nan;nan;nan;nan;[1.93273642 7.69033817 0.92201416];[ -67.06891357 -256.88311107   17.57302876];[[-0.59525791 -0.36968461 -0.71344327] [-0.54177565  0.84035961  0.01657907] [ 0.59341989  0.39639502 -0.70051683]];-149.80138758725204;292.46712208240984;-31.26071885410376;-136.6613796364512;317.8089430114259;-27.06766976297304;347.00362489255843;330.0828771165033;387.96707267888127;321.5193282316869;388.56678650296993;-2306.566063475772;-11758.757496994505;-725.2763005449492;12123.237167859776;-2371.6417363162855;-11865.504291558675;-746.9958565762554;0.058405553925390985;17.12165937639133;-317.56412635084973;-342.1490876823172;11877.964000944687;11976.616170992178;23.67093919811355;79.71835252016177;12004.776157448116;-124.0928812466777;-274.1098611025601;16.185711328440078;-123.13474587060733;-270.5644488847324;16.314531875691394;19.52003718452333;19.54811527201797;128.45450942339454;28.906587586354267;124.7110494859295;28.8547222863285;nan;nan;nan;nan;[2.16166071 9.58067482 0.89842642];[-122.76768911 -269.14494671   16.66328711];[[ 0.48813269  0.56731722  0.66323272] [ 0.79193043 -0.60731441 -0.06336721] [-0.36684148 -0.55616578  0.74572579]];88.95060264547345;-556.5353307870217;-39.98338788790635;60.04513624366757;-657.7934024055102;-56.97362110696494;662.9808233552295;565.0154470739782;690.6543355453842;558.36530630288;692.3801069572766;6479.232658539292;20510.233058377737;3520.4817246550506;22679.30834314189;6705.161969146625;21354.485120892452;3657.566829519038;0.020063829218844805;49.84093460388694;503.32780430543806;606.0318636069974;-20472.595706425924;-21324.648045001064;172.82790067444117;-133.2717692156352;21795.502002158228;65.57061869446048;60.774300009257566;16.98440704730381;117.8989813250325;-18492.496292685104;-19321.798978228428;84.2928009236891;-90.77013529440826;102.4785025806949;-89.85143781153762;nan;31.386247941148067;84.2928009236891;102.4785025806949;nan;71.09225463954682;107.96374012180266;275.30640325513605;-151.6120938007857;260.8515741166844;42.033044663329065;-1.9123099896109985;nan;-162.32331908901045;nan;423.17489320569524;780.9978737994953;-106.74521152890217;
57.7208333333;-66.58640753031273;-248.83446593290904;18.423731945325684;-67.79556066541033;-255.57333425985274;17.334281293003173;11.79029558385438;11.852409759409658;99.59416454704755;23.17701214457958;105.86773761753997;22.357910060231355;nan;nan;nan;nan;[2.77334569 7.11749584 1.14135692];[ -67.95177197 -256.91984383   17.25791651];[[-0.64180036 -0.29796095 -0.70661982] [-0.41896944  0.90799732 -0.00233931] [-0.64230593 -0.29455075  0.70758954]];-158.80837570338775;244.89238158176357;-34.0901581883321;-141.9602752641103;280.1553989785537;-28.721908221300115;315.38027100909045;293.86139187658176;368.69454644546556;280.2860995379057;369.26219776523374;-2018.4027171596776;-11080.341142113079;-633.381462043554;11496.190568809734;-2127.15044059404;-11277.840845822695;-669.279055225607;0.07191557167051384;13.90519433790458;-269.46563337422896;-303.86966925440885;11212.399253670339;11398.508433694196;27.338375560529713;79.8112341970339;11280.473457736682;-124.70054230869809;-278.7678615296666;15.63371910187307;-122.82235768850016;-273.0682975041911;16.116213577208445;22.02382150933553;22.079157435435732;133.0814855296902;28.509677010362463;126.99295316723499;28.654816967145603;nan;nan;nan;nan;[2.52553817 9.21761886 0.83415725];[-122.10379321 -270.25645187   16.69749948];[[ 0.42939608  0.56863576  0.70162125] [ 0.80351724 -0.59520782 -0.00936503] [ 0.41228517  0.56778608 -0.71248854]];114.54440540243327;-475.9284180605953;-26.130363792346216;77.3220809472396;-605.288866934042;-47.88473509432591;612.0835437187978;490.2153361927573;645.6061039015871;478.6175715755899;647.2254667772866;5810.4709801659865;18198.044870062287;3131.760795432611;20697.79190062298;6157.201919332802;19476.347751130823;3340.558690261238;0.02343317636617595;42.67453905410048;422.93391781921747;554.0384488538356;-18133.60153303156;-19424.220753095826;171.45486149805043;-121.48391326523056;19358.15941105869;65.42969512888591;61.01237698930969;-55.304996642003054;72.95219641474866;-16223.071896852887;-17478.570327388752;84.08753961639516;-90.67666786394365;103.81613472723966;-89.85814784190333;nan;30.83156295104427;84.08753961639516;103.81613472723966;nan;72.9845717761954;111.42591517692487;275.2709962252901;-420.36137824837624;89.3509790352061;95.45220700647778;3.7532293968367725;nan;-170.82148165101648;nan;260.1724606862217;691.3077959050959;-396.9574790541172;
57.725;-67.14833863973243;-249.3723867633048;18.1920030065599;-68.43891457525582;-254.45481679902784;17.198000682789505;13.04041544066708;13.149929689200286;100.00208595759739;23.02937684695031;104.64572186340583;22.290609070931787;nan;nan;nan;nan;[3.67798828 6.70286181 1.3621468 ];[ -68.97299699 -257.2468839    16.92683105];[[-0.64351524 -0.32399552 -0.69348038] [-0.39145573  0.91785757 -0.06557362] [-0.65776177 -0.22926925  0.71748524]];-166.63486427103155;200.1040859080048;-36.54328838913358;-146.38112813224635;244.4177700192675;-30.097656937973557;286.48446716640086;262.952914252713;352.5071913778745;242.5162569034209;353.03770622146556;-1739.9262802064725;-10421.263980126241;-544.647916502203;10885.30698143805;-1889.8273953418166;-10703.537634512244;-593.9213774057664;0.08854979643653915;11.293080732451694;-224.10174402146882;-267.4687412454737;10565.354261529794;10833.048307038143;31.442688928115462;80.05040413280184;10579.542889793487;-126.42597983149537;-285.8768695779125;14.685054325330796;-122.39744221791625;-275.2159184679547;15.97903898014476;24.17308140371373;24.27270384051085;140.38147047184276;27.903635919818402;128.91928112685184;28.495337018609856;nan;nan;nan;nan;[3.94481514 8.65315023 0.9363998 ];[-120.8629162  -270.06910362   16.89631478];[[ 0.51537987  0.50096922  0.69527938] [ 0.69550914 -0.718514    0.00216026] [ 0.5006502   0.48245981 -0.71873633]];137.41018010831144;-404.74362503827757;-13.862123307432668;92.75262666559316;-559.1159627479465;-39.867119133762294;568.1576337082479;427.65771134064084;606.6321311191042;409.317811258642;608.1449921917741;5169.779194039839;15987.615600467327;2759.7855915553314;18802.21761198845;5631.546070398909;17680.10192966276;3036.9510602376245;0.026807609444340266;37.30284127259711;352.0716938126482;508.46457850519147;-15897.397716254884;-17606.48400763944;169.7645941273948;-112.92747954063324;17027.826814211785;69.70448120367982;60.92925911689615;-118.3466455822972;34.28155889098244;-14053.57401321401;-15715.768970448613;83.02936680868262;-90.41985992221387;104.6522656983338;-89.86737372811771;nan;30.03355361540639;83.02936680868262;104.6522656983338;nan;74.61871208292742;114.47205573679808;274.4168598257286;-715.2991625319866;-80.85500446377812;166.7392941975127;7.892831569877097;nan;-179.96696081010384;nan;99.11195634632571;618.3871051177526;-686.8924843624089;
57.7291666667;-68.64084192062052;-253.5571654432983;17.165115634038912;-69.11732421356554;-253.52869435107837;17.05071929300797;14.126013080003462;14.307355381728067;103.81031572427491;22.271042286011525;103.61839261216592;22.219918986956458;nan;nan;nan;nan;[4.14994679 5.8383678  1.51256692];[ -69.7209145  -256.65723094   16.73005551];[[-0.61099529 -0.4423534  -0.65651217] [ 0.45607676 -0.87454702  0.16480745] [-0.6470539  -0.19872336  0.73609121]];-173.32121541255347;158.02165509059137;-38.633281510516106;-151.41589273753263;208.2762281290871;-31.669952193631975;259.4392908738583;237.70489610002855;333.63580038766383;208.14438192717202;334.1370615120086;-1471.1367526152078;-9781.52601103175;-459.07566392059374;10286.58269378763;-1655.3710993431434;-10139.218051316222;-519.4105769561445;0.11044110709670282;9.05459956250162;-181.39529264602828;-230.7241434068009;9936.829024520846;10277.805448693987;36.60228534514145;80.46830880047823;9902.183845727672;-122.037746065789;-276.44762404280647;16.2907214961989;-121.87160990466211;-277.047453932063;15.896259457257388;26.01230127246522;26.18002505817663;130.11494173630078;28.775525438333208;130.53064090250592;28.37172647474794;nan;nan;nan;nan;[4.23127799 7.17462697 0.8683905 ];[-120.3887068  -271.99939164   16.81820308];[[ 0.56045634  0.43515195  0.70464989] [-0.61040386  0.79208195 -0.00364903] [ 0.55972834  0.42807589 -0.70954578]];157.66488464754454;-342.5569562251732;-3.1088925775216385;109.33664661727711;-508.6946855899854;-31.142716179421132;521.243373302757;377.11158736140334;562.4502197091477;349.9995659734257;563.8671357674874;4557.157300158663;13878.9452495853;2404.55611302194;16907.79717712746;5107.328509082743;15884.434436666563;2733.7782482182665;0.03142286375162276;31.823961301056062;290.3128391329307;458.5436164527462;-13763.984256088255;-15789.470660192252;167.40229101397298;-105.53465907629813;14804.549773635365;58.10307248581952;60.56434612111142;-172.5569002412503;-8.840234000577318;-11984.002641761073;-13953.48894719311;80.58452813099223;-89.88123280555638;104.56072621919967;-89.82687093026303;nan;29.408050603952546;80.58452813099223;104.56072621919967;nan;75.15267561524712;117.18681347613368;271.96301723317265;-1014.097966002636;-214.68720924502944;261.37823931221993;4.433860482763773;nan;-238.76083424741134;nan;24.073625002382304;559.8167910592952;-915.3552311623591;
57.7333333333;-70.19100583181002;-257.5857645974066;16.221356627267298;-69.82595491997809;-252.78352460416102;16.89397763660149;15.061384248195472;15.34754929472923;107.51529180584804;21.600334802903753;102.77451644381432;22.146558011135916;nan;nan;nan;nan;[4.39882706 4.65762658 1.58870564];[ -70.4051398  -255.82178774   16.58734127];[[-0.59232884 -0.51263533 -0.62157185] [ 0.49011554 -0.84157429  0.22702306] [-0.63947893 -0.17016972  0.74973926]];-178.90779125027393;118.56450915927728;-40.373309606472084;-155.75050102610678;173.40449577904005;-33.01952263523895;235.40948706737683;218.3930968021013;317.2836371990628;177.1032828480488;317.75212003963253;-1212.0341343867995;-9161.127234831782;-376.6647042990178;9695.602019056065;-1424.3459538639186;-9580.029842831618;-446.05529488074075;0.1366892353661647;7.315865052000536;-141.2691136016667;-195.20951634050022;9326.82354264564;9727.211636424718;42.55674115852932;81.12421655062293;9248.629912325394;-119.06554227437084;-270.1212747941314;17.393154925222944;-121.25598387002289;-278.601279404675;15.861417105700939;27.58406316420222;27.851725690265255;123.24432530375176;29.381739158284958;131.86585547713298;28.2796267624206;nan;nan;nan;nan;[4.3613355  6.85890879 0.86835609];[-119.7251838  -273.39053589   16.80249997];[[-0.54509867 -0.45333194 -0.70523584] [ 0.63788743 -0.77012702  0.00200158] [ 0.54402855  0.44877002 -0.70896996]];175.42547690442188;-288.94441612684125;6.199102252952209;124.47219629939701;-463.32993428581386;-23.269742540427938;480.3222216125234;338.0849041687126;523.6308495633349;300.17447875349364;524.9488984045581;3972.6052985245483;11872.033817423408;2066.0723598336513;15063.671968771212;4595.824328202833;14136.725554774275;2438.3606205880415;0.03602191665687944;27.760877066185223;237.22906062771867;413.75953482647776;-11733.361152538955;-14020.845879643579;164.71428179490644;-100.22249420462497;12688.397645722604;50.47011432143274;59.95530289576754;-218.35212108613368;-46.8861154130211;-10014.357782501136;-12238.32271936823;77.06854045424974;-89.03036580390135;103.97847399446903;-89.80160013170207;nan;28.533828941988943;77.06854045424974;103.97847399446903;nan;75.44464505248008;119.62528161277906;268.6927557893755;-1309.5420266905705;-327.5668858745461;382.22009671695;-4.093534450257385;nan;-300.7018240820479;nan;-26.865061792498572;514.517458885015;-1106.3474809673783;
