

Insect numbers for this group are 0-1;
dt;xt_0;yt_0;zt_0;xt_avg_0;yt_avg_0;zt_avg_0;xxt_0;xpt_0;xp_0;wd_0;xp_avg_0;wd_avg_0;PCAsigma_0;PCAmu_0;PCAwt_0;vxt_0;vyt_0;vzt_0;vxt_avg_0;vyt_avg_0;vzt_avg_0;vavg_0;vv_0;vv_avg_0;vvt_0;vpvt_avg_0;axt_0;ayt_0;azt_0;aavg_0;axt_avg_0;ayt_avg_0;azt_avg_0;curvature_0;curveRadius_0;vxp_0;vxp_avg_0;axp_0;axp_avg_0;thetaToR_0;psiToR_0;aa_0;xt_1;yt_1;zt_1;xt_avg_1;yt_avg_1;zt_avg_1;xxt_1;xpt_1;xp_1;wd_1;xp_avg_1;wd_avg_1;PCAsigma_1;PCAmu_1;PCAwt_1;vxt_1;vyt_1;vzt_1;vxt_avg_1;vyt_avg_1;vzt_avg_1;vavg_1;vv_1;vv_avg_1;vvt_1;vpvt_avg_1;axt_1;ayt_1;azt_1;aavg_1;axt_avg_1;ayt_avg_1;azt_avg_1;curvature_1;curveRadius_1;vxp_1;vxp_avg_1;axp_1;axp_avg_1;thetaToR_1;psiToR_1;aa_1;xb__0-1;xb_avg__0-1;vxb__0-1;vxb_avg__0-1;axb__0-1;axb_avg__0-1;phi1to2__0-1;psi1to2__0-1;phi2to1__0-1;psi2to1__0-1;phiO1to2__0-1;phiO2to1__0-1;phi1to2__0-1;phi2to1__0-1;phiE1to2__0-1;phiE2to1__0-1;alpha1to2__0-1;alpha2to1__0-1;dphi1to2__0-1;dphi2to1__0-1;dpsi1to2__0-1;dpsi2to1__0-1;dphiO1to2__0-1;dphiO2to1__0-1;dphiE1to2__0-1;dphiE2to1__0-1;dalpha1to2__0-1;dalpha2to1__0-1;
39.675;-230.29177510851446;-397.0886471406067;23.988263493529445;-237.0930095406465;-407.1421245228122;22.838703231271303;0.0;0.0;284.9476059489353;52.46897705211355;297.0217103415936;52.376091742074344;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;-265.10093250806483;-402.6977690239061;21.46003603734063;-270.5550701971392;-410.6436563510353;20.879518563387506;0.0;0.0;308.4956957066827;54.627766816943144;318.117829431783;54.88987055696613;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;35.348714562747645;34.32601060419789;;;;;;;;;;;;;;;;;;;;;;;;;;;
39.6791666667;-235.33193621031455;-404.12153359819257;23.125284473587456;-238.69775053434455;-408.7487167005684;22.75584941444888;2.272266893972741;2.272266893972741;293.53272146064273;52.3828648120173;299.22152049928593;52.529351896867304;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-132.72457746291437;152.13524293937508;42.426334732080015;-213.57384329452336;34.61700202839041;30.00047031982519;218.4311140575855;206.30302829995085;238.73271050427522;56.75771760836688;304.4447988209028;-70675.82309677797;-78027.84717864783;-6177.906602842041;8100.118865593578;-8003.86643398116;-1199.1065161106535;334.94970780056326;0.0538490297318359;18.570436737299158;-58.93903826763216;83.27499638197254;103318.51993505131;5315.692670733667;80.88131000737609;91.27528246777138;105458.918237079;-272.64411620037686;-414.15453106118736;20.434485110401724;-271.2692527019469;-411.50729548369475;20.992036250468402;1.1263167545323407;1.1263167545323407;322.1800940716494;54.77659094961406;319.23757885806265;55.108395741331634;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-196.4286189920356;-233.91509444998485;25.69278269769843;-212.06736913626324;-247.99321833878793;26.608265348454353;327.38540770666555;306.5299216282397;327.4127437405226;306.5150380374943;327.4214058121235;-28189.32203152539;-31431.087439189912;2676.4982843124335;9332.598566829529;-6497.571810978472;-6690.4001397716265;342.7864357152008;0.0067295786136341434;148.59771427203444;305.02409771425306;325.58833393005125;42010.14918692057;9231.233099678275;139.24396952372174;84.57070918804716;42305.02070999342;38.7311272094705;33.50213983512977;150.0017997246394;73.71391862042718;-41778.83113362042;114.45682540436155;20.61913061328432;-122.10803787934277;137.99500060641842;-79.87530005788507;nan;13.589076355355747;20.61913061328432;137.99500060641842;nan;124.40592425106267;101.50044062066041;277.23897013014016;;;;;;;;;;;
39.6833333333;-240.30070801721013;-412.8980947497001;22.14882500272897;-238.63726419828058;-407.4374947926743;22.98625347064867;1.5791570906921304;3.6049512218258664;303.5859554631597;52.20118110523623;298.0790790209579;52.729988371821264;[6.49817054 9.27349148 0.92400681];[-239.92753828 -410.94377937   22.52392947];[[ 0.57601875  0.57998332  0.57603971] [ 0.70803853 -0.00182883 -0.70617143] [-0.40851417  0.8146263  -0.41170398]];-280.64364367795696;-16.43422849248338;27.796473321787737;-204.98566803171434;33.72100147413946;28.906578442696496;209.74227117128981;282.4952787784463;229.6516361124956;281.5374450240399;299.9200508466068;-325.328686563656;-2885.4991087796866;-844.4268741086651;6085.337692381016;-5231.106839794891;3010.2221214132496;778.0866537337154;0.048217801338332776;20.73922850573877;161.95177292202132;79.50655511412323;2709.069436167864;290.32744397911813;80.74820493574153;91.29878255823603;3024.0702053336213;-269.6615299877256;-408.8595081967873;21.07408613992139;-271.84300630511177;-412.20910240988167;21.075856019657415;2.036651462109251;2.0366748777429122;316.14987691857164;54.93824040497913;320.14384116462367;55.27755721891543;[3.38851745 4.83984276 0.33948423];[-271.04211025 -411.1344361    21.06224243];[[-0.6201392  -0.63195829 -0.46481835] [-0.37136478 -0.28543168  0.8835253 ] [ 0.69102502 -0.72052584  0.05767968]];-251.18700134212096;-292.42757548527754;29.795893018523735;-203.21599447022015;-237.42794807194824;25.663693163065624;313.57199505208416;386.6478912243227;313.604954427493;386.5861737797605;313.6133661706545;1905.2985034354592;3345.096542190021;-707.0053303106749;8728.708561913165;-6051.117188296779;-6283.605899524934;301.0495503582969;0.006682070540407854;149.6542118124606;384.54775268312096;311.8279255709581;-3838.79480179023;8640.030571549034;139.21552409338813;84.53789661947458;3914.0375318656234;29.656754909344023;34.48981079868308;53.00761787093608;70.1566337805468;-4778.376156226845;2871.2461075291476;22.491083467190087;-119.02403356861313;140.0329782687071;-79.26768944218469;73.8075729435867;14.825344873492934;22.491083467190087;140.0329782687071;-51.31648947639662;125.20763339521416;103.2392884029316;279.2485023620952;24.19664727478472;459.23222854705267;255.79138684337556;140.38592206107072;-1825.832752858205;76.28272573774211;1850.0294001329896;382.9495028093125;386.55370070536645;429.036363242414;
39.6875;-247.5635890601868;-422.79374477452626;21.367751790907008;-239.80378867986877;-407.48092300940704;23.10940220388286;2.745247874042438;4.77876167784097;315.7782464430289;52.53189881781322;298.7303618470557;53.00619685691821;[5.60010472 8.12820703 0.95549994];[-240.6163803  -409.74974243   22.85111241];[[ 0.55492017  0.61096908  0.5646064 ] [-0.73744551  0.04716336  0.67375793] [-0.38501653  0.79024831 -0.4767283 ]];-277.1520892344118;-21.338367843615135;25.565782990716773;-202.49571564010708;26.889960500437322;27.17012148015749;206.07231820300538;279.1455100286537;223.63585442336995;278.97285712988696;284.8162643497387;2001.274819469926;531.5122202365285;-226.3044848047448;4967.133369057339;-3330.909559756805;3614.2992939070764;717.1443542177911;0.07421427990227683;13.474495761688592;164.52867663907253;84.0407914682429;-1472.15565198123;-1232.537498892593;82.50220970294264;91.00305600554346;2082.9834044341037;-273.1012201037164;-413.9635294297812;21.171670825668897;-272.9061578602138;-413.4565879374445;21.20614277294921;3.6806087381779813;3.6809029667493975;322.30349557852304;55.56454662212388;321.7794463390146;55.56540191263274;[3.3205241  4.54368634 0.47296622];[-272.03759015 -412.20694323   21.29901718];[[ 0.70620992  0.6996757  -0.10826569] [-0.01614178 -0.13696581 -0.99044425] [ 0.70781847 -0.70120916  0.0854326 ]];-241.08236411279;-276.48297710064276;27.980685502693518;-196.68561744354747;-228.69120874486458;24.668041266038113;302.6440373214706;367.8946339291279;302.6812942917183;367.8348125857734;302.688701253569;2944.927366644416;4308.310682433915;-164.2942772870855;6575.995767177044;-4599.9767259345845;-4695.543293958191;189.22902883757754;0.005990227060447673;166.93858010872566;365.67801859992903;300.9062275124342;-5218.677558142608;6501.708955671071;139.08169200623217;84.5861436842056;5221.219277212429;27.021875399293545;34.752154832835025;38.53082635827539;62.44466168069766;-2170.4837698462397;2944.3955489258587;22.40052277539872;-118.11053243836741;142.01052882266683;-78.68855216161337;64.68443658804195;15.039154433140572;22.40052277539872;142.01052882266683;-42.28391381264323;126.97137438952626;104.90273247834136;281.09222082889903;70.43285872800527;431.06044580062934;281.0026345718132;145.2855641558884;-1320.4046097009095;102.26660961386627;1390.8374684289147;328.79383618676394;364.5571088545947;403.20172681573257;
39.6916666667;-246.14968298200807;-417.8168766067558;21.989522565298785;-240.97596122893208;-407.5744466967784;23.21789074833042;3.92530246589433;5.959653260143704;310.7954743731484;52.887078807711774;299.4286771286425;53.269373128824554;[5.17697607 7.30227839 0.95292579];[-241.44575802 -409.04475679   23.08716304];[[ 0.52288736  0.64103287  0.56184131] [-0.76647437  0.0651863   0.63895836] [-0.37296896  0.76474022 -0.52542036]];-262.48989864988073;-14.726462766105596;24.605851685901406;-198.73697386742828;21.882719254929725;25.65776319898186;201.5776748460701;264.0516304361985;217.1161175858398;263.79853750487;270.26165346174895;5036.576661105907;2642.2022169634583;-234.46254150623082;4117.772876595621;-2243.648767963241;3400.9878064433237;596.1338856896463;0.07741781203036238;12.916924074369494;151.35775762921136;86.35157079741928;-4849.885472747548;-1633.996813546614;83.76784704766285;90.80296019070562;5692.390508555514;-274.70275243128367;-415.9968428064371;21.170934033446073;-273.9362313162978;-414.6459988722609;21.32415512814531;5.258202910276485;5.2587738780626685;324.8880969632979;55.805215156303326;323.3484057703189;55.83585193720462;[4.91334824 7.02655534 0.43227896];[-274.10014582 -415.1947665    21.31623656];[[ 0.7064408   0.70334393 -0.07904884] [-0.01665228 -0.09513897 -0.99532471] [ 0.70757622 -0.70445432  0.05549777]];-226.15607414616;-255.78199010935214;26.58525433655635;-190.05056615856574;-220.03992520797237;23.690240811224676;291.7156387518764;342.45842387893384;291.7552830989667;342.39705069590474;291.76188605120336;4219.691817338456;5628.163073379671;-505.51268245837946;4963.437243409844;-3510.2140037257195;-3507.4948278929132;107.64269422597279;0.005501419550919427;181.77126662387977;340.13903832832625;289.9930989144585;-7040.032972220657;4899.532122956453;138.96389188251618;84.62857320449716;7052.48620601231;28.62272497848412;34.9315409476079;32.70823925498051;56.20572306391355;-624.3580397320011;2583.128932375485;22.69272219447995;-116.89243867825179;143.85991350659899;-78.0978067583425;58.59230000310253;15.461034254640749;22.69272219447995;143.85991350659899;-35.89957780862258;128.39887925195825;106.46056924214281;282.82380538911514;81.02136182364524;387.59346100777907;259.2846102952324;143.68336453687013;-1035.5821780235042;106.43391536176794;1116.6035398471495;281.15954564601003;329.70105994186895;361.86534767173055;
39.6958333333;-242.55447090995125;-408.70576468504584;23.316531768001553;-242.11338942348874;-407.65874274143715;23.322450395472153;5.07002168345803;7.104983535971573;301.1758873250078;53.59190853575465;300.1014341523812;53.523944309858216;[4.92958981 7.4899025  1.07386135];[-242.10617952 -407.7848008    23.36329326];[[ 0.44201882  0.67417256  0.59170155] [-0.83999417  0.07968207  0.53671275] [-0.314689    0.73426298 -0.60152199]];-235.65997412485987;-7.872921921712525;22.530849802167978;-194.79770334373652;17.335357072515528;24.23049327718944;197.06287483258208;236.86545864039115;210.66358956344376;236.46162443085655;256.7678855945154;7841.787110914645;647.4973883466776;-761.5383626863724;3611.1703100690042;-1143.7923296272413;3387.789351275019;505.1469354527862;0.08469672645412642;11.80683176157489;131.51389221658584;88.17186769508929;-4675.169925317612;-2210.4852631347494;84.95324512066408;90.62692093386687;7905.239948203082;-273.4243018570468;-412.98223919281105;21.825602344982954;-274.9151775611536;-415.7606127466164;21.43931515213831;6.745898843059252;6.746712610117561;321.7064783293879;56.24042587741987;324.8267631606805;56.09561923468786;[5.48896098 7.67327696 0.5173893 ];[-275.56171386 -417.02571021   21.43053402];[[-0.69134793 -0.67766578  0.25061351] [ 0.11882146  0.23550051  0.96458331] [-0.71268471  0.69664094 -0.08229156]];-202.1390888987754;-225.79181060303802;23.864461766993877;-183.54539680849092;-211.63539566834942;22.74932252737958;281.06224411105086;303.9928708566264;281.10310297131764;303.92487434409105;281.1089664619287;7308.461101413416;8767.12308966255;-800.4677509324135;3477.4877893014273;-2504.728963208902;-2412.1071294159137;31.51732577344043;0.005050855059884883;197.98627918315114;301.72784775072967;279.3566990572974;-11397.338505044969;3421.902840525174;138.84953601469144;84.66816006789311;11441.887936894418;31.200281528573555;35.0732450524873;27.62923709793214;50.42926225817282;-1813.562995652858;2369.3375250093904;22.98746326479873;-115.76884381693577;145.60269920433853;-77.47783912698104;53.681064840534994;15.891376179922743;22.98746326479873;145.60269920433853;-30.693601575736263;129.7113230244158;107.94070838546281;284.45223521902994;93.03320253730323;333.24949962310785;243.82642387165413;127.03802893725748;-802.4573244480036;108.03118673188304;895.4905269853069;225.21831289122503;282.19745973819283;310.5861724573601;
39.7;-242.12249980951833;-404.82353547821737;24.021607800784793;-243.1633770510143;-407.6971672198293;23.422939512379585;6.123623611768122;8.160468505600834;297.66066291566784;54.175373605996505;300.6899917755525;53.762283570470416;[5.1436765  6.99480759 1.06696203];[-243.13914734 -407.27056428   23.5343658 ];[[-0.30767599 -0.70820705 -0.63543549] [-0.89789685 -0.0048631   0.44017904] [-0.31482809  0.70598805 -0.63440063]];-234.24403229669417;-31.552447116634514;18.705529215342903;-190.80158523644192;13.977921130355552;23.043132287001104;192.6956490257678;237.09854577556726;204.7231666512569;236.91166488968798;245.06592358026154;-7162.135033405373;-12013.66948191334;-1074.6155189884644;3202.9487242751957;-413.1511578177437;3149.650021096121;409.745525587732;0.08425436293156117;11.868821568472224;150.66081850358788;88.94593120492685;13865.694543086853;-2400.734917441902;85.8401778653146;90.50192990275092;14027.80207912271;-275.62827797843363;-416.7941828729467;21.956305753365072;-275.82086526751567;-416.7775154565054;21.545698914283268;8.111511666075529;8.11261115967499;326.0914341805627;56.717475285918496;326.1828977563881;56.335574402906396;[5.478129   7.34888224 0.66605989];[-276.4678536  -417.89661739   21.62876948];[[-0.66325361 -0.63703331  0.392789  ] [-0.19163185 -0.36278469 -0.91195642] [-0.72344445  0.68012927 -0.11854238]];-191.55461439052894;-215.17997162187243;22.77650321238697;-177.69182816377665;-204.15058641832974;21.917860096203107;271.53681209429004;288.98851115585535;271.5778758011474;288.95148993146125;271.5831560717181;-2227.9133374733024;-3673.4403787196543;278.24764472235637;2341.561739488662;-1732.858401950995;-1574.6246951937137;-25.888374053194358;0.004703545810585776;212.60556190383116;286.91033375957016;269.849192501033;4284.931789306093;2290.3338917542033;138.7494909380491;84.70172197278615;4305.250725229945;35.63985188381928;35.204109608066055;13.343611476177747;45.81523622169001;-5043.537302786109;2067.6094024275885;23.367900209676954;-114.73173359245831;147.08985901499696;-76.90044538720198;49.96244851957382;16.347983549322098;23.367900209676954;147.08985901499696;-26.594548309896865;130.74187546567487;109.20807807499156;285.83934995304605;52.53970292603441;352.53990224317323;216.37973424931354;149.95747680297882;-810.3381405864039;93.69864700795738;862.8778435124383;258.8412552352167;300.66166240647595;326.7859790856941;
39.7041666667;-244.26582132831112;-407.5205808224276;23.79807880726662;-244.0772225411958;-407.7243504241181;23.510207477156875;7.040535220381723;9.078873756128532;301.0720391061063;54.276512423914916;301.19738325418604;53.96943520389468;[5.05638435 7.19363824 1.20737607];[-243.75207648 -406.0837629    23.80312458];[[ 0.05817621  0.71275264  0.69899872] [-0.95491534 -0.16445495  0.24716648] [-0.29112236  0.6818638  -0.67105106]];-225.07381690139738;-16.18918291703586;20.830850126835163;-186.65415515172938;11.397815412841078;22.004351695529;188.29199485143172;226.6147325640848;199.0165512425921;226.6022157280045;234.5495882713484;11563.838423137282;19388.036297700484;2094.769556502917;2828.157586201594;78.27035563509101;2809.0882649274904;318.3900181617537;0.0796861779443903;12.549227805829247;132.740786764535;88.97508015315877;-22467.309777813076;-2377.197437640713;86.5296139306714;90.40886277961745;22671.708582553478;-279.57517611491824;-422.5998168568878;21.60733616149554;-276.5996699686433;-417.6422111683083;21.638185666863247;9.278606129259867;9.279996801145526;333.1003847524858;56.97848211366552;327.34116189193645;56.542763931554965;[5.65314589 7.32890234 0.69275625];[-277.41171877 -418.89843345   21.7493913 ];[[ 0.64590793  0.61765264 -0.44867377] [-0.22019726 -0.41200851 -0.88417315] [-0.7309693   0.66989118 -0.13011414]];-190.45947333128598;-214.94356069685495;23.254388980342682;-172.1788126811054;-197.18698234765785;21.149966174309558;262.6320060708998;288.1255140967604;262.6727252942545;288.1070853420958;262.67752683041215;2753.581045903897;3786.917622719247;-48.86247610329738;1462.4674742409727;-1131.1824031382819;-924.3567134164234;-69.29754977673701;0.004440973451308338;225.17585636666976;286.08881805222643;260.9646705447777;-4679.259328821436;1410.3447042325627;138.66067495497686;84.73065991243541;4682.450341348399;38.45690117741494;35.303488694970056;22.398040616327386;41.97446305267524;9389.6632900496;1738.2661911408295;23.762739952609547;-113.73695695133877;148.37977836786428;-76.41918888583729;46.99392047013534;16.79163606935505;23.762739952609547;148.37977836786428;-23.231180517525797;131.58814229850924;110.29235388328095;287.04045332284113;41.10131324576975;370.0118545471406;203.26993512702265;180.18967265147808;-815.9076280264921;96.59291519662341;857.008941272262;273.4189393505172;319.3654907753011;341.54383065883064;
39.7083333333;-244.4313387668268;-405.6340332125258;24.028601618224712;-245.11541065348663;-407.96010427913455;23.578818922507434;8.097887485848743;10.145701749335608;299.5628815716937;54.49832527723471;301.9454985964157;54.177601675606944;[4.43461371 6.80766202 1.21820013];[-245.42266005 -406.88999293   23.83517958];[[-0.19026577  0.67432598  0.71350081] [-0.94436714 -0.32431597  0.0546796 ] [ 0.26827158 -0.66340306  0.69851753]];-207.50130350074116;8.302832181255344;22.660844997728315;-184.74315528851054;6.791471274630557;20.795723193683955;186.03392059293157;208.90007628708003;194.6530876756689;207.1698717512187;223.05309522277886;-3129.0319908463475;-7631.869050550187;-1216.372018477402;2839.117510130854;1041.8042145984841;2632.6265844165964;210.97270392034696;0.0776590064487935;12.876806512575925;102.8937108179993;91.91291730748938;8140.7133235131;-2742.947920996357;87.90786086098484;90.23545093941594;8337.615204110853;-283.0630052152974;-428.7044790953483;21.1456726525213;-277.41715372077;-418.57068188668757;21.735503107719815;10.51944074883757;10.520886902715263;340.0859181737446;57.071894878084635;328.5738172043844;56.76079294424759;[4.7381201  5.94277974 0.7710561 ];[-278.59778452 -420.21397995   21.86287147];[[ 0.64385098  0.60134207 -0.47312116] [-0.18391652 -0.47858082 -0.85856573] [-0.7427184   0.63980319 -0.19753799]];-184.75438993239692;-206.89531516464098;22.114020014275418;-167.5823561157204;-191.05428037731568;20.432324731078957;254.9569846576209;278.26046416542914;254.9950452151098;278.23314681748093;254.99914805655416;-15.141014444922835;76.24023273930177;-498.5146276088471;259.3408275983042;-159.30720796805005;146.13892907408936;-143.2560356769518;0.003981803093717915;251.1425041528795;276.2096947765756;253.2906343761012;-62.719843482860206;-27.42229903552337;138.5348749117368;84.77967215284076;504.5380633277848;45.088384371580894;35.31530637036753;33.96375849980723;36.74571139473256;-3838.1187059952476;1402.9332065852461;23.805731067393882;-112.9285691403808;150.0276915336899;-75.65079974717723;43.20963068135417;17.1288056077217;23.805731067393882;150.0276915336899;-19.403899613960288;132.89888592596822;111.71359192837872;288.5625664454267;101.61181977732662;322.4528961053353;215.66751063584636;170.40212178385846;-641.0255463267385;122.52289770197194;742.6373661040651;199.9299984033621;281.9747022433331;300.25682579061026;
39.7125;-246.57973060030514;-407.5277105990194;23.99839217059774;-245.95283768204067;-407.85926028176004;23.68379789488049;8.928887018114986;10.995686528375685;302.3039507812711;54.77962935060482;302.30355647722376;54.39032203956845;[5.39177037 7.46891962 1.21096309];[-247.23490078 -407.93238505   23.84961698];[[-0.17434977 -0.71596772 -0.67601211] [-0.94100227 -0.08106315  0.32854756] [-0.29002912  0.69341112 -0.65959391]];-207.8344456435848;-8.196799627487973;19.195184481447807;-180.30942562438202;3.6457294500886963;19.631227081372593;181.4115911096593;208.87986841097492;188.47066102830863;208.73108979457754;213.06568364161333;2969.1237622725093;-287.9542176562236;-447.1450293390835;4078.8061321175555;2251.16129812725;3393.2639458132962;233.8633516765484;0.10543456021218987;9.484556088510951;117.16137633444971;92.2690496635744;-1292.233875602761;-4029.4578114029896;88.8484820767507;90.12536482134085;3016.3806497887363;-284.18885952967156;-429.5879817586628;21.389823404772258;-278.1868322464039;-419.43340750744863;21.831972241699425;11.679498507110528;11.681062244355644;341.4626854499905;57.47536033859799;329.72523537570487;56.97069924746068;[4.82765937 5.94530243 0.69646089];[-279.51500923 -421.08208311   22.01579468];[[ 0.64832726  0.60444179 -0.46294913] [ 0.17736735  0.47141833  0.8638898 ] [-0.7404138   0.64219536 -0.19842511]];-176.73891143018957;-195.95565483561336;20.29474085176391;-161.45349258389842;-183.3373958859493;19.61368571689029;245.0806554283328;264.6641985267797;245.11699913735887;264.62209867795093;245.1205655117985;3862.570695501156;5174.796725197773;-374.73937039747096;1101.7178737917716;566.7755704180563;923.5018140961256;-199.22882715790325;0.003610229723835889;276.99068383313136;262.6171998568761;243.43416639483016;-6461.6777179741375;-1083.315158642535;138.42344142257426;84.80739839076142;6468.261213076338;43.679592185238434;35.49013903343944;20.483232015200514;32.269497550625736;-2632.5340066227004;1766.237920391975;24.105250896324275;-112.04304082528034;151.46321048909027;-74.91760828040839;40.19469023658163;17.596577029326866;24.105250896324275;151.46321048909027;-16.089439340257353;133.86663345976342;112.95373297307498;289.88665191166456;86.21894198504272;238.41242400125785;164.26094419821393;133.1268818187728;-451.3543032160488;98.78015784137638;537.5732452010915;139.63226615988103;208.4431734949475;221.42656147564944;
