

Insect numbers for this group are 44-52;
dt;xt_44;yt_44;zt_44;xt_avg_44;yt_avg_44;zt_avg_44;xxt_44;xpt_44;xp_44;wd_44;xp_avg_44;wd_avg_44;PCAsigma_44;PCAmu_44;PCAwt_44;vxt_44;vyt_44;vzt_44;vxt_avg_44;vyt_avg_44;vzt_avg_44;vavg_44;vv_44;vv_avg_44;vvt_44;vpvt_avg_44;axt_44;ayt_44;azt_44;aavg_44;axt_avg_44;ayt_avg_44;azt_avg_44;curvature_44;curveRadius_44;vxp_44;vxp_avg_44;axp_44;axp_avg_44;thetaToR_44;psiToR_44;aa_44;xt_52;yt_52;zt_52;xt_avg_52;yt_avg_52;zt_avg_52;xxt_52;xpt_52;xp_52;wd_52;xp_avg_52;wd_avg_52;PCAsigma_52;PCAmu_52;PCAwt_52;vxt_52;vyt_52;vzt_52;vxt_avg_52;vyt_avg_52;vzt_avg_52;vavg_52;vv_52;vv_avg_52;vvt_52;vpvt_avg_52;axt_52;ayt_52;azt_52;aavg_52;axt_avg_52;ayt_avg_52;azt_avg_52;curvature_52;curveRadius_52;vxp_52;vxp_avg_52;axp_52;axp_avg_52;thetaToR_52;psiToR_52;aa_52;xb__44-52;xb_avg__44-52;vxb__44-52;vxb_avg__44-52;axb__44-52;axb_avg__44-52;phi1to2__44-52;psi1to2__44-52;phi2to1__44-52;psi2to1__44-52;phiO1to2__44-52;phiO2to1__44-52;phi1to2__44-52;phi2to1__44-52;phiE1to2__44-52;phiE2to1__44-52;alpha1to2__44-52;alpha2to1__44-52;dphi1to2__44-52;dphi2to1__44-52;dpsi1to2__44-52;dpsi2to1__44-52;dphiO1to2__44-52;dphiO2to1__44-52;dphiE1to2__44-52;dphiE2to1__44-52;dalpha1to2__44-52;dalpha2to1__44-52;
349.6625;-58.78640210340282;-226.9545296276013;13.254088822990639;-59.945516138285214;-223.64444663680382;12.977371854223813;0.0;0.0;80.53408075994886;16.69654596102006;77.04818680919661;16.524849755875707;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;-72.69716430352878;-209.85153574114884;12.5754833963624;-73.83318153655898;-209.22864350825824;12.407629852206455;0.0;0.0;60.14815940594335;17.596283072669745;59.302120943424526;17.56998745390011;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;22.056341722813702;20.095806091900876;;;;;;;;;;;;;;;;;;;;;;;;;;;
349.666666667;-59.196051708174224;-222.918105365403;13.203695341842504;-60.693232961621625;-223.43485268878013;12.760918779037036;0.8061401892389846;0.8061401892389846;76.60987628094342;16.639609630974054;76.6150282851937;16.40552519410086;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-98.82160729411972;155.34821428130303;-13.137819313756877;-173.71679685711507;230.1533179600125;-25.88426870355429;289.51350684314644;184.5843439864383;290.7293925220369;167.19505442348012;290.1294798447603;-11960.735811676137;-53.252384643005605;-3612.233032589011;29654.653372692996;-14464.015650456979;25871.8274220964;-916.1133986402632;0.052370952165819926;19.094554493371486;-177.38228131043672;-270.43191015713455;-3589.017481147509;-28661.29540377089;37.34798122111417;83.24467723327918;12494.409327971827;-73.3599466658698;-209.27190301291245;12.575931909525323;-74.32287150396289;-208.8403873207134;12.338448898398706;0.6287488653768223;0.6287488653768223;59.43510010508974;17.675191980939605;58.829892160948674;17.55999187205395;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-79.91282968620388;89.41009636037793;-10.68570583361078;-130.41447142741197;147.93764648394688;-17.575636900813866;197.99592070891194;120.39273229223913;198.12542631368467;119.7107866083924;195.484908440622;-7060.005569806599;4031.165594986504;-1424.4313190809414;18395.547844968576;-10789.667577257418;14827.463735986848;-1457.934582484064;0.04386729317460557;22.796027008543398;-99.30462064888665;-164.30774055060692;-5253.407609643001;-15879.133387110212;41.65372470676074;84.24998678313007;8253.664597176321;19.67813115986138;20.088265422140267;-58.151387441415515;-84.76636347590127;143.66430823926754;-10462.169121384195;7.588771079645639;-59.49995665527861;175.58506023233028;150.35592267746097;3.0177513658051396;11.13397559154225;7.588771079645639;175.58506023233028;4.571019713840499;164.45108464078803;44.93675230075981;217.23878493909103;;;;;;;;;;;
349.670833333;-60.42360917189396;-222.12327783419101;12.937522437484475;-61.00116382698169;-222.78710620232528;12.73753405474871;1.380922457380981;1.5237360183001916;75.44049260561398;16.525311895436158;75.90709011203579;16.413092536730467;[2.22709559 1.82329946 0.76657423];[ -61.17117677 -224.60008585   12.53937756];[[-0.6572309  -0.34185151 -0.67170312] [-0.29170498  0.93713834 -0.19152007] [-0.69495017 -0.07006624  0.71563607]];-226.7682047128766;302.75981191716164;-32.84861526099494;-167.21954995269328;220.12929538075937;-24.97891946480841;277.5666244144643;379.6924464686927;278.93008715512906;375.8301846209858;272.92245642353095;-49453.630949382146;70810.81924991826;-5848.949022093848;27760.39230059175;-12682.20585415744;24688.15759377576;-543.9760844198647;0.0675146897059062;14.81159143818919;-355.03167760370224;-258.83368437642173;-81682.69273969809;-27009.983381344715;37.526818559169456;83.24383419964674;86568.14622934544;-74.524098967928;-209.35268039464478;12.14381087004665;-74.59455685708397;-208.50283800944635;12.306289979292368;1.0567666585639226;1.0632447395982925;59.28420907935721;17.401273342435914;58.46172540485676;17.55877238240416;[1.28116472 0.96469681 0.205206  ];[ -74.42012503 -208.72827125   12.33506898];[[ 0.61327982 -0.56332769  0.55366937] [-0.04281488  0.67622719  0.73544794] [ 0.78870448  0.47474067 -0.39059768]];-168.92739759277862;193.39028189517842;-23.222956849163854;-125.36662278136006;142.14720094765346;-16.840949160865044;190.2793588739862;257.8285719500137;190.44276985978507;257.4757654550343;183.73867950720222;-35666.9870253877;45879.323461764114;-4593.4491683900505;16693.887222596226;-9665.620631709506;13546.905845383102;-1320.2236253598023;0.04745270774915772;21.07361302301553;-214.41996331778373;-157.79531393522916;-50001.956871477894;-14441.588601160012;41.664969120287026;84.26937190120843;58293.619376746;19.040534380717617;19.8447208884589;-113.46779438770116;-80.83661337010858;-26695.539642480526;-10142.039610894844;7.684747369195129;-59.03098828425716;175.42949790619252;148.35517956391277;3.131440627216457;11.248528217824006;7.684747369195129;175.42949790619252;4.553306741978672;164.18096968836852;45.211565928364585;217.09446702647955;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
349.675;-62.82782179470584;-225.00868307423116;12.003180291340229;-61.51674635573854;-222.1402842364371;12.651436951422495;2.199432309433385;2.355370980718142;77.41186801039642;15.959068102128047;75.13684260760807;16.385836362986584;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-317.6994091164987;434.13849594891565;-42.01505291905056;-176.19134115936336;232.07085189663985;-24.803868341634104;292.4303350958591;539.6057939732947;293.72287610783513;536.4727338619484;272.92245642353095;5806.652835603627;-7749.0509146185195;1449.0589462230719;27760.39230059175;-12682.20585415744;24688.15759377576;-543.9760844198647;0.0601537537639289;16.62406645351613;-505.56982341636166;-271.64367281420124;9424.382749556053;-27009.983381344715;37.477378845315044;83.62532004958746;9791.056074816592;-75.2524749766406;-207.78388210539293;12.27977621528052;-74.98881175134731;-208.0953031843776;12.249401349785364;1.626338753779185;1.6331200518040423;57.598589088401425;17.60821486152768;58.00235365554204;17.548112832923277;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-232.41165185236233;281.07424443822407;-30.92860840801591;-130.33629337805672;151.3849650390429;-17.360655009157277;200.51520978157762;366.02525270986234;200.76977216524523;365.3293161387466;183.73867950720222;5194.54498076063;-3791.021441064627;894.7364201378149;16693.887222596226;-9665.620631709506;13546.905845383102;-1320.2236253598023;0.03777103099197321;26.47531649884039;-308.7134384017062;-166.66807664301777;4741.088831153935;-14441.588601160012;40.976381957682634;84.25749894424108;6492.741669378061;21.24011017891838;19.60367052679558;-162.83092478199026;-85.41600539640167;3001.2370532003165;-10142.039610894844;8.152545981949947;-62.50998701465789;174.62818391856212;136.32734046390814;3.680514745188538;11.935691118478573;8.152545981949947;174.62818391856212;4.472031236761409;162.69249280008353;45.62992482726499;215.60456587624475;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
349.679166667;-64.621999058244;-225.9958333541697;11.298400882100665;-62.89089886625394;-220.26410776968456;12.463795594240668;4.512840662553014;4.688511039839522;77.85568149201147;15.511462915919468;72.9484927986743;16.35235542686907;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;-76.26694022472674;-207.38135498812613;12.10034249033501;-76.00228517035585;-206.891252326988;12.112765338882845;3.202398037353924;3.212846685653342;57.021666489881255;17.557771569528363;56.674892377210185;17.527869085455137;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;21.971494486123728;18.89915593522892;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
349.683333333;-63.49657641487289;-215.83832360874425;12.40331953927415;-64.16424143170696;-218.5224634368661;12.301311510430725;6.670038424945556;6.852102347948485;68.5002377052853;16.305345055867747;70.92376074580889;16.33257510047776;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-285.65697649346083;397.8948280116882;-30.961989408050478;-204.1980144621303;267.5437228570517;-22.466085612897245;337.31468653655344;490.7940985443293;338.3609996746333;489.90490798592634;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;-457.53891855255523;-307.73848903738025;nan;nan;37.51841522433123;85.01277283503845;nan;-77.49148584530508;-206.52284296810615;11.814440292883887;-76.9255755167819;-205.7530178140612;11.991662946385466;4.670749721599305;4.683461747350266;55.981975563700246;17.422561388229518;55.42974166886349;17.51214878518325;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-202.15212355736836;263.1225397778786;-25.8535142111269;-144.71444183251242;179.98586952486846;-18.84384517891674;231.71593256538398;332.81730152589694;232.11381777265473;332.2660141488565;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;-283.3889658476195;-192.2036453383255;nan;nan;39.035832821324966;84.22451771594551;nan;16.822082163006225;18.24674615361356;-151.05007331666326;-98.00927886381619;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
349.691666667;-66.10510104913126;-214.50242677232177;11.823343060292316;-66.54471623581696;-215.20667320343838;12.04329493203054;10.752579324824563;nan;66.41956851842698;16.053551743935223;67.11093642454107;16.34003320941094;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-260.76926900681553;346.8392762072329;-29.585076711118866;-219.91869442556825;286.0601220982626;-19.760857799965304;361.3656280191986;434.9406533566492;362.271867219953;434.8238438366434;nan;-439.33865536499684;5388.8680111934755;1193.1806201739773;12268.875431407889;-5810.074398915912;10804.885890858703;150.93281945484352;0.01638504181490894;61.0312754337977;-401.2256377530636;-324.8295969403543;-4725.40090153932;-11379.225406441998;37.663912216549505;85.93139282457346;5536.839973172514;-78.68275322949691;-204.75985672055128;11.824805128556605;-78.61017654642511;-203.56032998258087;11.776216994626271;7.439633172837257;nan;54.06049010781474;17.562986093978253;53.06816695346881;17.48718207251527;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-182.73002169936566;235.13525891964957;-23.322780342334223;-152.25203989068567;195.34899321635288;-19.660466525096286;248.452101511543;298.70186290071587;248.84780212407026;298.5220479892284;nan;-81.10842851260107;3001.6943888763353;173.54511828867658;7427.432429440548;-4193.466214287314;6103.616433465519;-572.2412399203669;0.007205245209092945;138.78778181456065;-252.96982549803388;-204.25663532984586;-2478.9955841705046;-6062.448991571479;38.16224756297509;84.20256306960424;3007.8008061487867;15.9095885465827;16.987995542642512;-130.55853203241412;-103.22219949380188;-2191.294773351149;-4128.806843908853;9.093879056929385;-75.43233704461336;170.80470159820746;113.61475342827322;6.307736069695853;13.290149326042291;9.093879056929385;170.80470159820746;2.786142987233532;157.51455227216516;46.75779127347889;208.96694916118255;76.89044773317521;-173.1475449324336;-487.34986543058585;-443.79109439762436;118.49705324646132;112.79522560539276;-41.60660551328612;-285.94277053782633;94.55043125039838;-248.19106020157568;
349.695833333;-68.13311157636079;-217.4563897156237;10.905585080103066;-67.62744115307211;-213.80828792072887;11.909666308406443;12.526052265306697;nan;68.70862049464463;15.45528010593224;65.48018203895283;16.328950905375326;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-268.6329471716572;368.32731257912957;-26.752585013076985;-229.33323780904186;297.69513213988927;-18.830987026244433;376.2588626679075;456.6665854896503;377.0696671481986;456.3529616436162;nan;-3335.2268637617094;4925.3894473270875;166.41539488742228;10122.61262101847;-4890.8534606504545;8859.372761287417;241.56361109331382;0.012024560766783293;83.16312083202283;-421.6260949258558;-336.33627875066327;-5066.8185414098;-9192.253792662426;37.70242458148793;86.28290512824343;5950.705296370703;-79.73012459742024;-203.79181310057527;11.710949862089777;-79.37084757061872;-202.6066561119866;11.677532275159269;8.66311171884384;nan;52.96696142158353;17.573342727770264;52.03564507278496;17.47506879301287;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-186.486499394887;248.41694610754612;-23.415295128189065;-157.35583056384695;204.3388616036632;-20.26161271290897;258.70013669042976;311.50677298559475;259.0759418296983;311.168451458377;nan;-1722.0008653391208;3373.515461319467;-217.95221549907632;6162.8220205573225;-3455.503687098395;5081.297392421781;-469.3467111669666;0.005418953244803862;184.53748442263867;-264.7352047789338;-211.95063683390393;-3168.386470666268;-4905.024646675459;37.82685842238504;84.1926604344155;3793.863033404228;17.94045644656833;16.463023315193254;-139.81669094291516;-106.78758060570392;-2252.621503693426;-3256.0919655549665;9.429098356795627;-77.41626001127852;170.08126922105313;111.67572675099544;6.801666045780674;13.784655916946921;9.429098356795627;170.08126922105313;2.627432311014953;156.29661330410622;47.13152293828356;207.90812764343818;75.25370022617112;-163.0798869722008;-518.499793119236;-385.56741151651744;110.94721048437437;111.60125697151268;-35.69351025820324;-274.68114394371327;96.14932926997105;-225.76467755204885;
349.7;-68.82993103342824;-215.0343683375341;11.024536894198903;-68.71779347753845;-212.31634590171407;11.796752626104773;14.376111356793295;nan;66.18570805093054;15.628335280254447;63.76738944326858;16.337993401373847;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-281.53893811400764;385.15603456155316;-25.803927196009035;-235.8770157344455;304.79265277270326;-17.37141974828925;385.7956634801391;477.7815267381947;386.5674776873224;477.48997653691134;nan;-2859.648788571676;3152.3971042455123;288.9403573056125;7298.270005422255;-3336.3707925249896;6474.4917052252595;462.96022053913197;0.010341628980407962;96.69656510540871;-438.74546875669154;-342.3652555912371;-3150.4808973984223;-6395.66911901058;37.81107874585956;86.67010966779144;4265.991704974922;-80.52431537282563;-202.8983468669427;11.507274272512277;-80.13292672725177;-201.60086949158557;11.581860491773663;9.927316906078564;nan;51.996876487628604;17.4624821287362;50.960085074320446;17.46534108877394;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-192.64286584425363;261.9699731576959;-24.065304255399628;-160.36524748161293;210.427868259089;-20.595080669612432;265.3696623348104;326.0654527327849;265.73707947987367;325.65146478766036;nan;-1233.0550303590649;3131.9375227578994;-94.05216556231093;4284.155125568341;-2321.9302472778113;3586.2281255441612;-318.73640875478446;0.004646709436440253;215.20605359092116;-277.0723489243359;-216.2321903066763;-2753.4427191319633;-3216.3629377638085;37.53688493573282;84.1852221016718;3367.239695091462;16.860447134895896;15.900007775706717;-146.7933038682061;-108.24775929900012;-1096.1527004494721;-2248.1595533540685;9.734632788038596;-79.49358592319788;169.3618053904385;109.91649430829638;7.295211513415466;14.23010953941971;9.734632788038596;169.3618053904385;2.43942127462313;155.13169585101878;47.54571153389816;206.8986903261713;63.509057781220754;-131.65274274665913;-546.2225835872789;-308.0781907976182;88.03103342734354;97.02615793269501;-24.521975646122797;-228.67890067935372;81.44240689330405;-177.2217843307519;
