dt;xt_26;yt_26;zt_26;xt_avg_26;yt_avg_26;zt_avg_26;xxt_26;xpt_26;xp_26;wd_26;xp_avg_26;wd_avg_26;disSTL_26;disSTL_avg_26;disSTLz_26;disSTLz_avg_26;PCAsigma_26;PCAmu_26;PCAwt_26;vxt_26;vyt_26;vzt_26;vxt_avg_26;vyt_avg_26;vzt_avg_26;vavg_26;vv_26;vv_avg_26;vvt_26;vpvt_avg_26;axt_26;ayt_26;azt_26;aavg_26;axt_avg_26;ayt_avg_26;azt_avg_26;curvature_26;curveRadius_26;turnRate_26;vxp_26;vxp_avg_26;axp_26;axp_avg_26;thetaToR_26;psiToR_26;aa_26;
122.883333333;-158.2303844903226;-239.36401323688887;17.58254011387895;-174.95258907256314;-241.6816830825604;15.544761856892471;0.0;0.0;113.66347672530841;34.25874415727201;137.3930545945329;34.47415945534822;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];564.6891225093395;212.15984851632732;-4.259179318833595;483.88244434507436;235.64713539890488;-9.339689894124561;538.2926919199184;603.2443509982575;539.8733921146776;nan;nan;-4102.854407384707;1290.6613454517487;-267.9590482200255;4029.1981941323534;-3869.5886624405207;1096.7734421040252;-240.43645274061498;0.009304980625879027;107.4693263969619;nan;-765.6896505149803;-675.4244863828002;4568.560420643758;4326.733517294952;64.03846512289205;-89.51588649386997;4309.410986244224;
122.9;-155.59560844594796;-236.88493817486562;16.41456253521207;-164.96231171578555;-238.3324734998006;15.512056447344275;10.536788701421646;10.536788701421646;110.05197015189977;32.71697974201487;123.98775618314177;33.07671555025637;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];nan;nan;nan;nan;nan;nan;nan;nan;nan;588.7260789947809;515.4795900631595;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];530.8981159083276;222.5807135428313;-6.444798296811476;461.0319132839035;241.63438753966025;-10.709543921374422;520.626830502316;575.7052361593861;523.1595715380336;nan;nan;-4007.1480888508777;1210.5466881941882;-256.6146545380662;3948.3952859216292;-3801.6164733917653;1040.9096213637022;-232.4751239960415;0.009970532249158516;100.29554842314433;nan;-728.0324898056903;-649.8005615416508;4469.326719258352;4256.283315916181;62.346584178944624;-89.38230097521955;4193.865778873097;
122.908333333;-157.12813108874582;-241.17400431721933;14.571098320317788;-160.39791874505946;-236.52059086473372;15.467390890186062;15.442839359707024;15.447857514467024;114.34245075675815;31.1561003957694;117.76448820091655;32.40453622221014;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];514.3006891533313;227.54204042267062;-7.5023137308125945;450.9983796057161;244.1938539861244;-11.3039321857359;512.9892353787144;562.438319937946;515.9589215593384;561.2062088713676;503.73176897006675;-3959.656981550979;1170.9403209515233;-250.99904079366365;3912.783368042851;-3771.5567942962493;1016.2726330066956;-228.96062550621184;0.010279722952658273;97.27888627012133;5.17822302746475;-709.5129612074729;-638.5385522685821;4420.089150310176;4225.129558418033;61.57412692121645;-89.31643141199714;4136.784399174654;
122.9125;-155.32826163275286;-238.6095162617047;14.966588787762092;-158.22048994271557;-235.58277782642793;15.438326282354026;17.809298558501773;17.818834999708393;111.21552158889317;31.272598700824663;114.7696730795506;32.07507842624718;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];497.90063916207447;232.33896710760683;-8.536509361849683;440.43704383463495;246.82192623403682;-11.92283559063547;505.0227785557734;549.5082475329345;508.5106160769596;547.8529887241272;497.55838147386567;-3912.4072422289273;1131.6345946328015;-245.42114911362685;3875.1462500706307;-3739.7130253542946;990.237512262242;-225.2434610384638;0.010616561992442866;94.19245144631803;5.282359401776831;-691.1980623662764;-626.6739562609336;4371.104435858183;4192.128460329844;60.7425799804354;-89.24200749898584;4080.16651930376;
122.916666667;-152.0572621729441;-233.27583065768897;15.35491419850625;-156.11180553438442;-234.6246355281473;15.404903997711129;20.119557766972143;20.13523385284318;105.00781302052027;31.14665385066156;111.85159598285388;31.750039961936462;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];481.6969602347607;236.97274626812433;-9.547542365183947;434.8729364778889;248.17842508519436;-12.246026134986186;500.8562335788267;536.9163803968737;504.64299870882564;534.7683517716193;494.1978674109445;-3865.398870885047;1092.6295092382913;-239.8809794979939;3855.2531174914807;-3722.8503055085766;976.478021727275;-223.27757564535457;0.010798816172455606;92.6027431183324;5.336751922990379;-673.0867397218244;-620.4189061801326;4322.37257590271;4174.653599173223;60.29672667030097;-89.200575665121;4024.014234545229;
122.920833333;-151.86629950449316;-234.13681524297755;14.983824577109928;-154.07104521210601;-233.64684636098028;15.36722087465482;22.374740131206465;22.398460391698343;105.55997391203162;30.766694196139714;109.00940648177587;31.429419173373915;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];465.6886466714255;241.44463057475662;-10.535569916087235;429.15395472753585;249.55285864225763;-12.576184308949736;496.59632149924266;524.6641054098338;500.70804077649274;521.9503377467308;490.71411210108795;-3818.631867519176;1053.925064767858;-234.37853194674574;3834.7617170567055;-3705.4573137207326;962.3051634901223;-221.25165562651284;0.010989657171550584;90.9946492770261;5.392779861232799;-655.1779397136527;-613.9866752674596;4273.893570443588;4156.629724034262;59.83270157032716;-89.15630537278521;3968.3297088342388;
