dt;xt_25;yt_25;zt_25;xt_avg_25;yt_avg_25;zt_avg_25;xxt_25;xpt_25;xp_25;wd_25;xp_avg_25;wd_avg_25;disSTL_25;disSTL_avg_25;disSTLz_25;disSTLz_avg_25;PCAsigma_25;PCAmu_25;PCAwt_25;vxt_25;vyt_25;vzt_25;vxt_avg_25;vyt_avg_25;vzt_avg_25;vavg_25;vv_25;vv_avg_25;vvt_25;vpvt_avg_25;axt_25;ayt_25;azt_25;aavg_25;axt_avg_25;ayt_avg_25;azt_avg_25;curvature_25;curveRadius_25;turnRate_25;vxp_25;vxp_avg_25;axp_25;axp_avg_25;thetaToR_25;psiToR_25;aa_25;
105.629166667;-176.7837029201507;-123.5228279320093;30.320116485053717;-265.52857782104155;-204.3532671508362;19.67635332821466;0.0;0.0;95.87506778583223;47.57791447074509;184.60948413638897;43.90192258611655;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105.633333333;-284.64397387338033;-240.163782431259;10.155241378827853;-262.8362925341518;-204.69664523126974;18.05974385764464;3.159071818186762;3.159071818186762;217.26804131790666;43.542239945001626;182.38385718440156;43.47719251788535;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];634.1445588779225;-81.97612445289454;-303.3753171881865;626.4898421599735;-81.65568084868272;-262.78086384266754;684.2594207947662;707.7400579406426;686.8268649357931;707.0995987393303;687.4815209460019;-1909.8827653306842;72.32300484105956;12412.682168747619;11351.750175052202;-1896.516870098427;75.72556915215415;11191.948956120483;0.02052332822724966;48.725040545434496;14.109408904543608;-522.8913182659704;-515.7561622847896;1788.1155892669053;1771.5721383225143;96.85369157831997;-92.86553608389136;12558.963389415605;
105.6375;-264.76627607250765;-220.6437996414881;13.5868235726537;-260.17740476513194;-205.0388298919768;16.683812431331628;6.169307122023571;6.172369314316626;191.35064520770084;44.03366574974907;180.1895719291499;43.05950006175924;nan;nan;nan;nan;[37.30268825 40.99156657  7.16714776];[-249.04714178 -203.68598947   16.23092843];[[ 0.5771894   0.57765468  0.5772066 ] [ 0.71366318 -0.01326826 -0.70036335] [-0.39690964  0.8161734  -0.41990918]];626.2154114124165;-81.66738789742226;-254.5228717904311;622.9349669117212;-81.47708348922704;-251.34123972030247;676.6527225389374;680.8797221248834;681.2384439371529;678.5884460736011;681.8626836300606;-1896.1152028846848;75.8642705646001;11049.979373757411;10919.575153191648;-1890.209095618596;77.28335909808304;10754.452956029314;0.020282742199761037;49.3029980932155;13.830045027705738;-515.476444767708;-512.4732743361292;1771.0371886138212;1763.8145303190718;96.91588045209849;-92.78145612358118;11211.737261041348;
105.641666667;-260.4759220589594;-217.17682774097176;13.461543747216595;-257.55167474537785;-205.37975899939866;15.523496040513502;9.051568474342488;9.063221250982782;186.10387775325069;43.292673554592035;178.02633046449935;42.64877800786389;nan;nan;nan;nan;[31.73829262 35.31994206  6.23002077];[-251.36160697 -208.03128156   15.30975695];[[ 0.57661895  0.57831617  0.57711437] [ 0.75838577 -0.11611248 -0.64138047] [ 0.30391052 -0.80750746  0.50553941]];618.3435389808222;-81.34397445836653;-211.1797578106159;616.0665027660185;-81.13687682178826;-226.89468167614626;661.5151738121103;658.4546032103971;668.2361725011345;654.1944559705039;668.7990408272805;-1882.3907490531358;79.367908961121;9768.203088133932;10067.870103265022;-1878.0371970214235;80.29607988051488;9890.830968244143;0.019767232494059584;50.58877110392253;13.220306131836901;-508.13256253827245;-506.12530515800296;1754.0397802300195;1748.8379836919314;97.04524616671459;-92.58644324600695;9948.240335261456;
105.645833333;-258.565833952881;-216.92270959205774;13.630916946695422;-254.95886345470834;-205.71937107322753;14.555136650555058;11.824210839298436;11.851720248263284;184.2272265886728;43.20539505667411;175.89383629043846;42.24495943198284;nan;nan;nan;nan;[28.02655242 31.44657664  5.60291312];[-251.56134658 -210.31081885   14.72378842];[[ 0.57519948  0.58003391  0.57680691] [ 0.76513925 -0.13210011 -0.63016782] [-0.28932245  0.80380981 -0.51979063]];610.5287619638859;-81.00604091625546;-173.00878145959135;608.9679515034933;-80.7681449665698;-204.56337799777236;647.4655472050704;639.7182085201374;655.7993084038807;633.3583966738966;656.3067648303754;-1868.7094038359908;82.833920030634;8567.353311873225;9264.843252675419;-1865.3985976698305;83.39593912339484;9074.726094257303;0.019140292029431977;52.24580682793672;12.561903139745121;-500.85933410985024;-499.58233923118837;1737.1233641154424;1733.316621421751;97.16603668460172;-92.39952790039831;8769.17778727047;
105.65;-257.28681238749783;-218.3855236037076;13.04096888847802;-252.3987326213467;-206.05760528640914;13.756481200939584;14.503188940767693;14.554778293162796;183.56545503388418;42.47441815086687;173.7917943130646;41.84797769555464;nan;nan;nan;nan;[25.41440182 28.54754438  5.13436435];[-250.7339601  -211.4487548    14.33597035];[[ 0.5730371   0.58250146  0.57647249] [ 0.77024816 -0.14256095 -0.6216061 ] [-0.27990399  0.80023023 -0.5303634 ]];602.770900742434;-80.65374405162049;-139.67274894858923;601.795459036261;-80.38564032956414;-183.49075400431767;634.2621559678074;623.9761710275844;643.7157611910069;615.5578380893993;644.1711981168193;-1855.0711672333427;86.26230377311548;7447.43004498348;8497.45524891511;-1852.5939801972597;86.5199382028061;8292.59643007817;0.018407607975218364;54.325363803177;11.857650883861131;-493.65642201470246;-492.98145552324274;1720.2879402702063;1717.6085637961469;97.28118348922202;-92.21300225864236;7675.476825284235;
105.654166667;-257.0087275095312;-219.40350001144708;12.972687632157346;-249.87104472195588;-206.39440146513786;13.10668160527916;17.102197478251774;17.186294452576135;183.682048734412;42.38550417133254;171.71991084461234;41.457766445678274;nan;nan;nan;nan;[23.54324968 26.30176442  4.78123541];[-249.57775558 -212.07054415   14.01880253];[[ 0.57019344  0.5860499   0.5756952 ] [ 0.76798226 -0.13144002 -0.62683871] [ 0.29168937 -0.79954302  0.52502216]];595.0697756972132;-80.2872406449899;-110.8344664884429;594.5542155905686;-79.98567779917886;-164.26500221772707;621.9930987423415;610.6049114775412;632.1989912621118;600.3125530733414;632.6073759562005;-1841.4760392451453;89.6530601885773;6408.433287460467;7781.269769190579;-1839.6188606898988;89.6625324082365;7560.153589616771;0.01759969102099778;56.819179314393836;11.13369435443331;-486.52348878501533;-486.33151381036566;1703.5335086942519;1701.7151934503995;97.38845609240784;-92.03479459830713;6668.364782624488;
105.658333333;-255.16710991770685;-219.67002384158752;12.786465235799824;-247.37556298158623;-206.7297000888637;12.586294751298437;19.63283759150802;19.757414201126707;182.07440667656837;41.9626254411853;169.67789360341047;41.07425961510501;nan;nan;nan;nan;[22.25531842 24.49891603  4.51647723];[-248.06913443 -212.38688567   13.7192118 ];[[ 0.56584703  0.59175011  0.57415063] [ 0.76389201 -0.11418165 -0.63516262] [-0.31030008  0.79799396 -0.51664253]];587.4252072089962;-79.90668747689277;-86.15674029012467;587.2982870049693;-79.56900438390923;-147.13530845760886;610.6548152373267;599.0629655265645;621.3067934277001;587.1880947489065;621.6737538296546;-1827.9240198713983;93.00618927701949;5450.36303930418;7128.113144550671;-1826.5621320965997;92.7982225723089;6889.488824941528;0.01675860223214315;59.67084761293463;10.41838315859446;-479.4601969530005;-479.68447226972944;1686.86006938758;1685.7495117618216;97.48699470562784;-91.86971368820197;5749.470726412976;
105.6625;-249.35376049409967;-216.90837489409762;12.559331891089869;-244.91205137370997;-207.06344229028787;12.177282500846;22.104802087191736;22.276851503417177;175.65239675947427;40.9309231032973;167.66545171391078;40.69739142224384;nan;nan;nan;nan;[12.71806829  6.2205114   0.91150622];[-251.7112613  -218.30699272   12.44190632];[[-0.64178814 -0.71456712 -0.2783915 ] [ 0.43151266 -0.03639304 -0.90137249] [-0.63395963  0.69861963 -0.33170138]];579.8370156585306;-79.51224132785714;-65.30237656454182;580.3082713299162;-79.18013406796493;-128.2851555607799;599.5700664160862;588.8952042882908;609.8731982958749;575.7975633796613;610.1940997796034;-1814.4151091120557;96.32169103845327;4573.2193005117715;6448.8709302298175;-1814.0268605401757;95.82893346774468;6187.734612886398;0.01574225752738982;63.5232906246203;9.605832660424316;-472.46620905084507;-473.2681112161497;1670.2676223501344;1670.4004647609736;97.58873759516246;-91.67222086100898;4920.946537701055;
105.666666667;-247.88682489013377;-217.0710063039437;12.58858626223298;-242.48027462020497;-207.39556985536478;11.863011689890461;24.52607171441947;24.751242952034374;174.35348063362756;40.76935589976175;165.6822957066742;40.32709637115894;nan;nan;nan;nan;[10.57917526  2.77060073  0.73113567];[-247.95386969 -216.27490748   12.53097932];[[-0.59361381 -0.56385766  0.57418393] [ 0.12267299 -0.76855676 -0.6279107 ] [-0.79534519  0.30229961 -0.52539601]];572.3050214266412;-79.10405897841483;-47.93418152280788;573.2372950890519;-78.77380795967184;-111.3109041026149;589.2337623334406;579.7311234143552;599.1816873230754;565.801696379985;599.4611264851429;-1800.9493069672096;99.59956547285603;3777.002071089219;5816.622774319523;-1801.301645839564;98.88417374213819;5529.795186045461;0.014668079566564853;68.17525058150417;8.792943500346674;-465.5411876108084;-466.7907826273203;1653.7561675820273;1654.8410206627493;97.68279366222534;-91.48704136178331;4185.580380869576;
