dt;xt_24;yt_24;zt_24;xt_avg_24;yt_avg_24;zt_avg_24;xxt_24;xpt_24;xp_24;wd_24;xp_avg_24;wd_avg_24;disSTL_24;disSTL_avg_24;disSTLz_24;disSTLz_avg_24;PCAsigma_24;PCAmu_24;PCAwt_24;vxt_24;vyt_24;vzt_24;vxt_avg_24;vyt_avg_24;vzt_avg_24;vavg_24;vv_24;vv_avg_24;vvt_24;vpvt_avg_24;axt_24;ayt_24;azt_24;aavg_24;axt_avg_24;ayt_avg_24;azt_avg_24;curvature_24;curveRadius_24;turnRate_24;vxp_24;vxp_avg_24;axp_24;axp_avg_24;thetaToR_24;psiToR_24;aa_24;
97.9291666667;-131.75184834431383;-221.46021226243863;20.532647637945047;-132.16429870888885;-223.4555498478339;20.417162252120594;0.0;0.0;83.74240814316636;33.428788031412225;82.14435260973619;33.39868839253775;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97.9333333333;-131.53427632702648;-220.16207789419514;20.550733648805064;-132.11731678385758;-222.3872740951747;20.26237032766969;1.0804540364469366;1.0804540364469366;82.54035070063243;33.3985051049135;82.06507796920943;33.22296371760353;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];28.5753706993562;259.0771302353083;-37.26558801474873;38.86537616184851;260.37145998339173;-37.21009204838579;265.87291247574336;263.2987566845949;266.38966086104585;263.0776875763206;266.403830140639;2697.485100676578;396.6937199792584;-8.607907631162927;2636.480808642007;2612.2773736114395;356.4128909804916;2.7979989737926365;0.035836939260605404;27.90416873293846;9.547097879542719;-61.56987234080469;-85.80471197010252;-6554.253095397447;-6249.645202792926;11.675917068896434;-46.844591051636264;2726.511667298876;
97.9375;-132.72196267461135;-222.58002581610543;19.899630549685014;-132.02192946327804;-221.31135477191876;20.107208163892427;2.171154776261683;2.1716810651402723;85.16264269827735;32.94588526559474;81.86636746618498;33.04038765809286;nan;nan;nan;nan;[0.55117863 1.35254269 0.4529165 ];[-132.05050107 -220.9978841    20.01833643];[[ 0.69410261  0.58212957  0.42349348] [-0.02740047 -0.56649619  0.82360869] [-0.71935442  0.58327287  0.37725586]];39.628555566955725;260.6410002934508;-37.27575312860539;43.14946523033765;260.69630462259425;-37.10321830400166;266.835320754309;266.25858713213114;267.9699683218487;265.7598822603098;267.9823482833979;2608.2662208693864;354.1177505759948;3.6593226188567387;2596.1912699678833;2573.974827874572;338.8310403104533;7.498122942091131;0.03492412167792006;28.63350463677447;9.359048138984141;-88.21165120672522;-95.1320960050408;-6234.673532864241;-6113.550332021446;12.314067891836025;-49.966594417332246;2632.197836569908;
97.9416666667;-132.71473039201703;-221.9748385929572;19.425846809802408;-131.8797088719829;-220.22854706947356;19.951895955448297;3.2727680995809476;3.2747772074391985;84.62347090355635;32.4661944775756;81.55386027077009;32.85139671845937;nan;nan;nan;nan;[0.5905688  1.7053926  0.44831876];[-131.82112176 -220.19774271   19.87697147];[[ 0.67455409  0.71543449 -0.18201721] [-0.33126777  0.07300878 -0.94070791] [-0.65972604  0.69485481  0.28624876]];50.31277741572855;262.02939351216156;-37.23567141260058;51.51762334023239;261.3778674287499;-36.91491169940267;268.951976757937;269.4016960993063;270.89094312398123;268.55292347629;270.89959141823516;2520.382851622115;312.4648370496812;15.510570702297834;2518.35393594099;2499.796817578789;304.7043733282274;16.663203986261518;0.033135900408432895;30.17874835673715;8.976501881919802;-113.53275821977861;-113.50938218129319;-5920.3306059792085;-5849.862254535558;13.629833689126581;-55.14780337341117;2539.7252943865446;
97.9458333333;-131.52968759494482;-218.8122659238233;19.682823493999663;-131.69220394885699;-219.13959015397077;19.796646675084162;4.385820461766027;4.390612141052316;81.3544163266274;32.51727523950557;81.13310463925708;32.65641695235627;nan;nan;nan;nan;[0.92155796 2.71121429 0.43309832];[-131.41633972 -218.99394508   19.79463535];[[ 0.63320015  0.67227183 -0.38354681] [-0.39435748 -0.14617355 -0.90725711] [-0.6659878   0.72572989  0.17255831]];60.63360087293607;263.24615595758576;-37.14707612576217;59.89335634872037;261.9337377773231;-36.67946791949557;271.18606248767935;272.6809077400859;273.88693417839545;271.42700711227945;273.89211488339606;2433.8349929353635;271.73497940060184;26.94583661907952;2439.044076108511;2423.9039230923768;270.1136346940381;25.775980481454816;0.03136468692438015;31.882990013928303;8.590540434374079;-137.55501269499743;-131.44178277540783;-5611.224314744499;-5580.593021938551;15.009698071299896;-59.394894197961065;2449.1057041250033;
97.95;-131.21894181677362;-218.1352218922209;19.649138345385694;-131.4609404468399;-218.04520716627783;19.64166607363588;5.510709128551812;5.519849015203259;80.61830258351573;32.43278644394264;80.60955791412954;32.45586396263858;nan;nan;nan;nan;[1.12656646 3.3894791  0.4794322 ];[-131.0600629  -217.89123068   19.67323846];[[ 0.60271289  0.63171309 -0.48752   ] [-0.45375822 -0.23123505 -0.86060086] [ 0.65638453 -0.73991143 -0.14727666]];70.59659056594955;264.2951336958827;-37.01170052711765;68.20017713009679;262.41104041039176;-36.41888740979794;273.56380179038376;276.05373076770735;276.889892878434;274.3546952021489;276.89177518910213;2348.6226448088287;231.928177628613;37.96512036924294;2359.7184804874564;2347.6739070386107;235.56188273344378;34.77258643198991;0.02963204210285245;33.747252265942805;8.20486874033703;-160.30023394767528;-148.95421285847846;-5307.3546591590275;-5310.432997018571;16.416710471445292;-62.877134247119336;2360.3517444761487;
97.9541666667;-131.2764051640682;-218.25955661191898;19.397979789860997;-131.18742093292212;-216.94610522197502;19.487152680025048;6.647712187699632;6.662964231298815;80.73735522005896;32.19327682443923;79.98858652405335;32.25014290135898;nan;nan;nan;nan;[1.2513109  3.80602257 0.56977877];[-130.762309   -216.96369318   19.52073027];[[ 0.58974496  0.60915379 -0.53021933] [ 0.48149638  0.26187353  0.83641108] [ 0.64835339 -0.74856791 -0.13886675]];80.20731112210328;265.18017279320725;-36.83127787569462;76.37020675541895;262.7761536773503;-36.12452023322217;276.02299973626896;279.4821637064336;279.8877714845028;277.31083516802096;279.8866074455974;2264.745807242512;193.0444317337147;48.568421952788086;2280.657309586636;2271.3442688492282;201.23457050363433;43.56172369105571;0.027961193443792776;35.7638525698192;7.82596357311324;-181.79024129301746;-165.79369491410492;-5008.721639222797;-5040.347194804297;17.822704882355037;-65.75713073992213;2273.47720807949;
97.9583333333;-129.85678557552964;-214.50675210951135;19.690433703896232;-130.8731247881476;-215.84297541137104;19.333297801261256;7.796998255234307;7.820266598609409;76.86236116349293;32.23975364022191;79.27546598388253;32.03964846977061;nan;nan;nan;nan;[1.390158   4.19313638 0.71073445];[-130.47474615 -216.10166759   19.33520215];[[-0.5856578  -0.5981111   0.54705398] [-0.48309344 -0.28437597 -0.82810086] [ 0.65086532 -0.74926192 -0.12239655]];89.47132716876243;265.905119315716;-36.60754143051981;84.30976467120665;263.00956444519494;-35.79470362697724;278.50211528156933;282.93243531492124;282.83888478586476;280.2724661919246;282.8349719252523;2182.2044802361333;155.083741715779;58.75574136974899;2202.5892414923305;2195.595902447382;167.48498893330012;52.02670829526283;0.026375862323674035;37.91345237279448;7.460016279820667;-202.0468540462961;-181.70804100539468;-4715.325254934815;-4772.819511325083;19.200783702974306;-68.15196996848434;2188.4971093540717;
97.9625;-130.14241959240354;-215.05455461238728;19.3224841787589;-130.5195082076116;-214.73649279949493;19.180285522440897;8.958635814101646;8.991915528060535;77.44993675538701;31.920892045465564;78.47538089465469;31.82476491832553;nan;nan;nan;nan;[1.61275833 4.50769651 0.68632439];[-130.14673812 -215.1341107    19.17981465];[[-0.58662685 -0.59465022  0.54978183] [-0.4574762  -0.31685839 -0.83085274] [ 0.66826975 -0.73891263 -0.08616068]];98.39420333319808;266.47381932955847;-36.342224450622325;92.15984130935314;263.3447865529263;-35.50779794374302;281.2556073566981;286.37470718566664;285.68224781069665;283.21871655362366;285.67538013091354;2100.9986637902566;118.04610757506508;68.52707862005613;2127.1825386957967;2122.0667555470877;134.48059730478556;60.44176439100924;0.024845917167342055;40.24806141245689;7.097866831481633;-221.09189152257807;-197.8229675564503;-4427.165506297083;-4512.743600779733;20.557812123745766;-70.16312526608606;2105.4278019600356;
97.9666666667;-129.32632173900828;-212.8125141214207;19.36226972893408;-130.12800420046602;-213.62731642611146;19.028292706749347;10.13260214016887;10.177938053523262;75.14924735658292;31.819125968720765;77.5934249436025;31.605866046677782;nan;nan;nan;nan;[1.73470254 4.67950546 0.64814283];[-129.85019432 -214.2833119    19.00475925];[[-0.5859347  -0.58854141  0.55704536] [-0.4235587  -0.36360734 -0.82969135] [ 0.69085349 -0.72208636 -0.03623168]];106.98150424277671;266.8901189008921;-36.03706019502905;99.8965124596123;263.5732743080374;-35.18764524671803;284.0569564525085;289.78275919122535;288.5429654337957;286.1306952011167;288.53339271533457;2021.1283579045964;81.93152931144162;77.88243370374501;2051.9434513731608;2048.2748453302074;101.61274074021709;68.67995733818874;0.023385910409290632;42.76078983021868;6.747616072129484;-238.94717303713986;-213.33046767264435;-4144.242393308589;-4252.141613537305;21.891924026629685;-71.9005145354155;2024.287106144052;
